"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
119245,77525.3,82325.2,2415.14,0.219613
99241,84750.5,81538,2635.36,0.229641
76310.8,71307.8,79874.7,2241.33,0.246689
149789,119318,87477.9,4314.31,0.256717
90934.7,66729.5,80190.4,2222.22,0.27577
130323,99031.4,81461.6,3493.49,0.280784
65861,49692.1,75828.9,2064.79,0.287804
139590,92635.5,79021.1,2301.39,0.290812
155856,192912,117020,4841.2,0.305854
116116,74370.5,80830.9,2291.38,0.306857
104761,58691.8,73676.4,2056.6,0.319894
81424.2,56444.1,81328,2219.49,0.33293
105730,84840.1,84863.4,2341.43,0.333933
78265.4,64159.8,80884.5,2227.68,0.343961
95205.3,58446.9,76190.1,2274.09,0.348975
100882,80409.6,82807.8,2471.56,0.36502
108011,56695.6,74823.9,2382.38,0.367025
90603.8,120528,94356.4,2518.88,0.371036
84800.3,47836.2,76639,2141.23,0.371036
140583,72477.3,80425.8,4301.57,0.371036
80790.2,89598.5,76538.1,3484.39,0.380062
165555,145595,99484.2,4322.5,0.384073
123550,94291.3,83679.5,2649.01,0.394101
85913.5,54871.3,79618.4,2314.13,0.401121
89385.4,80163.1,82903,2330.51,0.410146
157578,133491,94595.7,4470.83,0.410146
144236,98913.6,83909.1,4046.77,0.434213
101318,75818.8,76439.3,2438.8,0.435216
80519,70193.1,80330,2279.55,0.445244
125044,110594,91594.8,2452.45,0.447249
90368.8,84047.5,86787.4,2251.34,0.454269
92760.8,76853,81191.6,2345.07,0.496387
135660,117226,83821.8,4396.21,0.514437
93571.6,78445,76124.2,1863.68,0.560566
96139,80460.2,81254.9,2747.29,0.570594
137636,136962,88970.9,4087.72,0.580622
71749,65757.6,78374.3,1861.86,0.58363
78215.7,74035.2,86337,2310.49,0.598672
69831.3,41233.6,73220.7,2230.41,0.598672
99782,70094.3,84533.2,2725.45,0.612712
155570,132102,89406.8,3639.09,0.61572
123455,106003,89401.6,4541.81,0.618728
84302.6,70731.8,86318.5,2303.21,0.621737
102850,46594.5,75092.1,2167.62,0.62274
160069,100733,85946.5,3255.98,0.624745
106804,57485.8,76545,2302.3,0.632768
114031,114601,94469.5,4683.77,0.63377
125789,68124.7,79122.1,2879.24,0.636779
81501.6,75906,84506.8,2264.99,0.637782
130368,100725,85290.9,3711.89,0.663854
98994.6,77879.7,93798,2030.21,0.664857
79903.4,68221,85206.1,2403.31,0.673882
113761,83651.5,80968.1,4460.82,0.674885
196111,122132,87032.6,4300.66,0.679899
111777,86688.5,81627.9,2568.93,0.680902
100095,81901.1,81592.3,2566.2,0.682908
108581,91843.6,81617.8,2345.07,0.684913
72338.4,72481.4,84552.2,2278.64,0.691933
112679,62069.9,75958.6,1957.41,0.750095
105372,55766.9,76878.7,2042.04,0.750095
76860.3,43553.4,78106.3,2382.38,0.767143
103771,81760.8,84713.1,3994.9,0.767143
97443.9,70192.3,79246.8,2300.48,0.774163
136382,97581.4,87846,3894.8,0.789205
142909,104416,80908.3,4248.79,0.796224
126413,88812.5,86069,3808.35,0.797227
112138,78280.6,80432.1,2354.17,0.804247
106363,68641.8,74387.5,1898.26,0.807255
117846,67210.1,76999.5,2020.2,0.811266
108924,106318,91547.2,3863.86,0.815278
89592.8,88233.1,91368.7,2387.84,0.83032
113278,61195.1,80257.8,2433.34,0.839345
66982.1,51249.2,80025.4,2432.43,0.854387
81724.5,60564.3,77827.8,2487.94,0.861406
114838,111154,94233.9,4436.25,0.871434
83442,76680.4,81191.1,2364.18,0.875446
102029,63633.6,80125.5,2390.57,0.881462
166068,145745,90299.5,2582.58,0.886476
150321,88975.2,85537.3,4272.45,0.915558
116473,100512,89084.4,4313.4,0.920572
102208,120722,107308,4499.04,0.920572
92881.5,93798.3,90759.9,4342.52,0.929597
97325.4,66307.9,81851,2272.27,0.9306
116134,95936.4,83440,2719.99,0.944639
117593,83382.6,85310.5,3028.48,0.952661
100235,79582.1,84454.5,2417.87,0.97372
160199,102586,83009.8,4511.78,0.978734
140698,121698,89460.6,4406.22,0.982745
137832,113415,89079.9,4571.84,0.995782
96136.1,116388,98995.2,4467.19,1.0028
93714.3,85900,82220.3,2357.81,1.01784
80067.4,77733.6,86317.2,2420.6,1.02988
112881,99431.5,86388.1,3125.85,1.03289
145985,109504,86419.2,3699.15,1.04793
99816.8,84079.8,81293.8,2343.25,1.06197
86790.4,40938.9,71771.8,2067.52,1.06899
103765,90328.1,92764.1,4321.59,1.07901
176500,134716,95603.4,4568.2,1.08002
69415.3,112170,104605,3377.01,1.08002
92326.3,73189.4,88106.9,2287.74,1.08804
80514,93753.5,86892.1,2380.56,1.09004
63942.6,75421.3,85607.5,2461.55,1.09004
100500,80136.5,83916.4,2493.4,1.09606
109612,91842.8,86323.8,2354.17,1.09606
86555.4,73440.9,91031.6,3158.61,1.12615
109536,94740.4,89788.9,3736.46,1.13116
124302,150348,110015,4241.51,1.14119
95433.2,68444.3,78410.7,2241.33,1.15322
120436,94169.3,86451,2345.98,1.16124
147953,103552,84713.7,3884.79,1.18331
85593.3,81562.4,77802.7,2467.01,1.18932
103366,59274.4,76393.5,2450.63,1.19033
104912,82390.8,84970.9,2464.28,1.19634
103476,163772,100385,4772.04,1.19734
92339,71994.2,80164,3581.76,1.19935
151559,105538,103830,4582.76,1.20436
233932,155342,111113,4700.15,1.22542
93820.1,77892.2,83075.5,2450.63,1.23144
107947,81465.3,89540,2258.62,1.23345
203668,116078,85220.4,4446.26,1.24748
123103,100325,92564.2,2946.58,1.2545
104119,87289.4,85252.3,2264.99,1.26152
127973,86318.3,80229.2,3591.77,1.26253
94829.7,56849.2,82921.6,2173.99,1.27757
55148.5,60687.1,89827.2,2537.08,1.29462
77314.7,51704.8,76170.7,2045.68,1.29863
98726.2,71868.9,74729.9,2015.65,1.31267
146436,106589,90387.2,4369.82,1.3237
142879,73630.1,76985.1,2408.77,1.32971
136170,91480.9,84694.9,3529.89,1.36682
50765,42436.2,79263,2138.5,1.36782
168401,125058,88635.7,4226.95,1.37083
96558.6,81329.2,95156.3,2331.42,1.37283
122961,85546.4,82080.9,2355.99,1.38988
98062.4,70396.4,79310.7,2334.15,1.39891
107631,124175,95891.3,4488.12,1.40392
90916.9,136811,85039.1,4669.21,1.40994
90210.5,58643.6,73896.3,2302.3,1.43902
135119,105627,94966.6,5118.75,1.44805
86947.3,52353.9,75315.3,1818.18,1.44905
76079.3,49765.1,77549.2,2226.77,1.46208
123348,110923,88713.4,4379.83,1.4691
140581,105706,82237.1,2408.77,1.47211
83733.1,88725.3,86924.1,2858.31,1.47713
60504.8,34910.6,77469.4,2339.61,1.48415
62656.1,39815.9,75737.3,2420.6,1.49518
90550.6,64716.8,79149,2275,1.50821
59211.2,64779.8,92716.9,4681.95,1.56136
71613.4,54819,79646.6,3877.51,1.56537
97848.6,76180.7,85261.6,3337.88,1.56738
97234.5,70657.1,85702.3,2361.45,1.56838
86611.5,83083,76095.4,1948.31,1.56838
112828,70446.3,81226.7,2287.74,1.58041
111059,75613,80967.5,2266.81,1.58743
170571,123244,89323.9,4115.93,1.59445
124180,74182.9,77737.9,2302.3,1.60749
58528.1,57895,82808.6,2305.03,1.61351
125033,111687,88433.3,3279.64,1.63356
91051.1,79333.9,85538.9,2366,1.64259
99510.8,94151.9,90821.7,3732.82,1.65061
125349,71029.7,79389.5,2419.69,1.65362
141969,87540.9,80205.3,2587.13,1.66766
70200.5,87111,93235.5,2359.63,1.66866
99142.3,81914.4,81108.7,2553.46,1.67468
130411,122878,88113.4,2356.9,1.6807
82520.5,70784.9,83108.6,2217.67,1.68571
103492,71285.4,79771.8,2345.98,1.70276
160239,111439,87700.7,4408.95,1.70376
137560,136178,92915.9,2196.74,1.71579
98149,55667.3,83412.5,2944.76,1.7168
63082.1,61733.7,86003.6,2258.62,1.73685
113204,81605.6,86439.6,3648.19,1.73886
101401,99204.1,96011.8,2257.71,1.74688
82654.6,68174.5,84091.9,2416.96,1.74788
92806.9,64850.4,81014.8,2292.29,1.74889
126611,131191,97952.3,4675.58,1.75089
109784,62134.6,76093.3,2464.28,1.77997
103179,47069.3,74757.9,2221.31,1.78098
63280.9,71113.6,90917.1,2376.01,1.789
187063,118024,81798.5,4211.48,1.789
122139,93604.9,82185.5,2318.68,1.79802
128239,94909.7,87412.4,3538.99,1.80504
190102,172314,111311,3781.05,1.80805
102782,58126.6,71990.6,1924.65,1.83613
85137.5,67253.2,83599,3253.25,1.83713
99994.3,91539,85856,2537.99,1.84215
163871,131034,87946.3,2336.88,1.84616
