"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
65373.2,105760,96293.4,4286.1,0.231875
86910.4,123672,102410,2263.17,0.232879
122793,115712,86612.8,2293.2,0.233883
150622,141215,88387.4,2471.56,0.233883
181392,152506,91255.9,4610.06,0.242917
95320.3,91388.8,82701.7,2355.08,0.242917
175966,136524,89981.8,4459,0.244925
76555,100568,84940.8,2299.57,0.246932
104587,141484,96729.7,2402.4,0.24894
92956.8,87478.7,84305.1,2304.12,0.250947
165965,149402,100331,4484.48,0.251951
170685,176524,102764,4488.12,0.252955
114527,100269,90897.1,3397.94,0.270019
113939,101712,85381.9,2097.55,0.272027
184386,168331,97101.3,4554.55,0.282065
213287,178877,94968.5,4149.6,0.283069
108087,113187,89667.5,2403.31,0.284072
105054,155429,103277,4408.04,0.287084
146362,113376,84674.4,2677.22,0.289091
117704,138436,104602,4164.16,0.291099
115549,163932,105643,4144.14,0.293107
90530.7,83939.6,81616.9,2228.59,0.310171
131028,135915,87868.6,2366.91,0.320209
157485,147863,97358.1,4408.04,0.356345
100776,101657,87448.5,2349.62,0.361364
78029,77123.6,86371.5,2080.26,0.363372
109552,81357.4,83167.1,2145.78,0.38947
82966.3,116684,89280.9,2405.13,0.399508
114385,93705.3,80314.3,2664.48,0.405531
165615,159653,98234.2,2800.07,0.407539
121805,96257.6,82404.8,2353.26,0.408542
111061,121025,99927.9,4348.89,0.411554
158792,145868,98484.3,4656.47,0.415569
116170,148293,93756.5,4483.57,0.421592
111484,89048.2,82939.4,2355.99,0.423599
65251.1,91583.9,99444,3368.82,0.424603
93994.8,115031,90038.3,3806.53,0.46877
130651,119692,86505.2,2395.12,0.491857
143785,102316,84563.3,3841.11,0.493865
146154,113678,81632.6,2300.48,0.493865
95519.8,123105,97196.5,2302.3,0.494868
138646,200413,103023,4539.99,0.498883
81160.1,71953.5,79950.3,2096.64,0.50591
186507,123921,86031.8,4275.18,0.560115
116604,85151.4,81831.2,1968.33,0.58019
124082,120074,88509.8,2805.53,0.60127
104783,103597,87070.9,2202.2,0.605285
98799.3,102026,87594.9,2808.26,0.608297
115283,89404.3,83339.7,2211.3,0.617331
130365,121127,90528.5,2264.08,0.632388
121767,116969,84007.1,2234.96,0.661497
88386.5,118634,96187.4,2305.03,0.697634
123023,91839.5,83208.4,2298.66,0.701649
144793,106404,86379.3,2332.33,0.705664
131729,105804,84728.2,2278.64,0.707672
92362.5,78549.5,79516.6,2248.61,0.707672
141077,93693.7,83913.8,3099.46,0.712691
163212,125996,89604.7,4588.22,0.73377
146319,175275,104339,1982.89,0.736782
117278,81251.2,77219.1,2420.6,0.751839
87978.2,89173.5,89788.7,2325.96,0.76288
107261,104773,87825.1,2667.21,0.806043
127493,128091,95585.9,4063.15,0.812066
157099,121589,85287.2,2639.91,0.822104
103945,67539.6,78974.3,2055.69,0.831138
137810,108694,88851.4,3634.54,0.851214
112852,99876.4,83007.8,2290.47,0.870286
81050.8,71798.3,84914.6,2220.4,0.876308
97527.7,114243,87630,2429.7,0.87932
126084,90613.6,79995.3,2277.73,0.886346
165321,137979,97108.1,4148.69,0.889358
49227.1,60115.2,85647.8,2105.74,0.892369
110840,98121.8,86231.1,2330.51,0.894377
139323,122330,92782.8,4568.2,0.896384
149242,142161,93291.5,2979.34,0.899396
142662,95615.2,85776.6,2232.23,0.900399
136156,128355,90164.9,2348.71,0.902407
125522,168280,97446.4,4498.13,0.904415
130680,128442,89612.3,2440.62,0.935532
111851,142451,98301.4,4053.14,0.951593
121819,95657.5,83406.6,2125.76,0.952596
126622,104149,87040.3,2333.24,0.952596
107691,104995,84817,2275.91,0.968657
136325,142813,91313,4217.85,0.968657
104669,90361.3,84633.9,2259.53,0.968657
61125.3,104209,96315.5,2162.16,0.987729
165754,145315,103582,4389.84,0.989737
97154.3,85691.7,82485.9,2176.72,1.01483
88920.4,81555,81461.7,2285.92,1.01584
164265,146569,93142.8,4456.27,1.02487
81878.6,73764.6,83098.2,2118.48,1.02688
155756,110628,86333.7,2547.09,1.0851
129699,164085,97891.6,2331.42,1.09413
116542,177579,114494,4367.09,1.09614
93409,100872,88074.4,2187.64,1.11822
114269,120114,91640.3,2134.86,1.12926
125206,93531.9,83760.9,2398.76,1.13428
143981,117888,85024.5,4379.83,1.13428
149655,125752,86375.2,2679.04,1.13529
166289,145658,97519.7,4528.16,1.15235
142585,140776,95528.1,4391.66,1.15536
50605.3,61058.9,84211.4,2245.88,1.16741
131057,150247,101345,4163.25,1.16841
96021.1,85221.9,88704.5,3993.08,1.17243
109247,84272.4,79937.4,2110.29,1.17243
173042,152746,92806.1,4362.54,1.17544
120006,120980,88107.7,2644.46,1.17644
162021,138605,93709.3,4413.5,1.17644
96009,103723,85320.1,2767.31,1.17945
107750,94581,84262.9,3651.83,1.18046
115612,104324,90476,2168.53,1.18447
159462,115727,88026.5,3675.49,1.18548
178139,142024,89010.7,4267.9,1.18548
153929,95920.6,80514.5,2762.76,1.18748
168744,212133,100353,3717.35,1.19049
106551,78181.9,80376,2224.04,1.2176
97970.1,139613,99166,2333.24,1.23165
188807,139252,92060.9,4294.29,1.2457
134323,193538,113546,4171.44,1.26277
102540,102801,84443.9,2332.33,1.26377
88961.6,74731.5,77717.6,2202.2,1.26377
114412,110363,95069.8,4368,1.28485
80487.7,65780.8,81422.8,2187.64,1.32199
147847,88370.1,80604.4,3626.35,1.32902
140574,111510,87053.7,3698.24,1.34207
80888.9,92625.5,85754.5,2161.25,1.34709
91741.2,90596.2,83292.1,2466.1,1.37419
145240,152676,95359.4,4847.57,1.37419
102427,90103.1,81525.9,2277.73,1.38021
143674,161198,102294,4418.96,1.38322
142598,173889,107661,3072.16,1.38623
125422,201511,110854,4039.49,1.38724
142359,147784,97941.8,3118.57,1.38824
96643.1,100166,82957.2,2422.42,1.38924
140963,195918,105699,4374.37,1.39125
96876.7,82360.9,80209.3,2239.51,1.39125
90064.2,154008,98328,3758.3,1.39728
55637.7,89549.5,87122.1,2185.82,1.39828
117494,97587.3,85950.3,2244.06,1.40531
103190,106950,92291.9,3891.16,1.41735
131136,128554,93450.1,3941.21,1.42438
72860.2,105071,94855,2235.87,1.4314
104729,96507.4,84366.6,2193.1,1.43241
124734,135338,102379,4439.89,1.44044
112284,132339,97331.7,4288.83,1.44144
97686.1,94699.7,84329.6,2223.13,1.47858
72479.6,113220,101495,3497.13,1.47959
86751.3,127862,96932.6,2661.75,1.4846
170170,146604,92387.4,4543.63,1.48762
90222.5,75826.3,81104.5,2207.66,1.49163
117112,73364.5,76090.7,2371.46,1.49364
101742,127719,94111.4,4327.96,1.50368
104351,70625.5,80013,2348.71,1.51773
161384,134317,95330.4,4640.09,1.53781
149475,104831,83794.6,4662.84,1.54282
195183,190790,100948,4428.97,1.55086
158331,90808.6,79577.9,3215.94,1.55788
108366,90405.3,82686.2,2315.04,1.56993
81136,75616.3,83379.7,2229.5,1.57394
104673,95058.2,91183.3,3018.47,1.58599
172335,129510,88512.6,4408.04,1.59201
102492,107844,81898,2185.82,1.60205
74676.4,87570,86074,2348.71,1.60406
119960,112084,99827.9,4354.35,1.60807
113732,92889.4,84618.2,2261.35,1.61008
103992,94753.6,90264.9,2389.66,1.61108
176130,129371,89714.6,4528.16,1.61811
112240,71552.6,79897.7,2273.18,1.62012
141089,116378,93961.9,4535.44,1.62112
207269,185595,104183,4599.14,1.62212
114145,119549,95122.5,3863.86,1.62514
156603,115664,81895.3,3023.93,1.63116
120553,95611,87263.6,2269.54,1.66127
124165,98408.1,83363.8,3539.9,1.66328
101583,112949,90573.6,3413.41,1.67231
99884.9,66587.6,79172,2285.01,1.68737
191176,159881,97275,4352.53,1.70243
96451.4,90072.4,77862.5,1870.96,1.70544
122690,96841.9,85778,2236.78,1.71247
184068,154119,93353.7,4594.59,1.7225
122382,116690,86996.9,2899.26,1.73856
212562,221205,98705.6,4039.49,1.74057
140100,95114.7,83469.7,2807.35,1.74258
120858,104936,86258,2353.26,1.74358
90980.8,76828.9,81988.3,2264.99,1.76065
138368,157645,92440.6,5102.37,1.76868
146564,128674,90757.1,2406.95,1.77972
159032,156756,99169.6,4417.14,1.80783
120518,79377.9,78508.2,2204.02,1.81385
179014,132144,87382.4,4337.06,1.81786
144177,133974,86775,2467.92,1.83894
189066,148861,88819.7,4673.76,1.84095
104264,85348.1,81401.9,2266.81,1.84396
77960.1,99956.1,93621.8,2226.77,1.84697
151123,105989,83927.2,4413.5,1.84898
165965,161462,94355.1,4469.92,1.85099
