"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
151866,128382,91309.9,3733.95,0
109628,129697,90788.6,2915.55,0.0568634
173022,152883,95832.7,3925.53,0.0761563
162273,158145,96977.7,3930.18,0.0771717
184354,148788,94102.9,4273.35,0.0771717
45532.8,92904.8,96650.8,2160.39,0.15739
83040.5,141385,101226,2281.29,0.160436
99067.7,104125,89769.5,2356.62,0.163482
170718,125939,85019.4,2441.25,0.196991
162521,131982,87443,4051.08,0.204099
170359,187590,102473,3116.43,0.207145
123735,148582,89955,4894.59,0.215269
123749,141322,92937.1,2295.24,0.218315
121586,113231,93704.2,2000.43,0.218315
156065,111847,86888.4,1868.37,0.220346
120024,193651,108127,2218.05,0.223392
118482,150359,92953.8,3221.52,0.227454
87724.1,113489,94545.6,4121.76,0.246746
109278,154059,100032,3331.26,0.291425
101720,159994,108128,2252.46,0.323918
162842,143469,90467,3431.7,0.336103
147367,178502,98706.4,3276.39,0.336103
110471,131120,100156,2009.73,0.337119
140702,170360,102139,3506.1,0.342196
182101,119479,89608.6,3742.32,0.342196
124667,127856,96058,3846.48,0.349304
161256,128078,92813,4073.4,0.350319
133777,100597,80475.4,2954.61,0.351334
128198,199875,115834,3012.27,0.35235
167531,147164,94110.4,3155.49,0.35235
177381,174845,97530.4,3591.66,0.35235
170518,167398,96205.3,4070.61,0.358442
102799,153843,102593,2929.5,0.371643
136794,137702,93758.5,2434.74,0.371643
87251.8,150964,101983,3887.4,0.374689
128704,130181,97027.4,3001.11,0.381797
184190,212723,105374,3737.67,0.383828
152276,121557,91181.8,3581.43,0.38789
168330,167373,107788,2944.38,0.393982
174165,209010,114124,4186.86,0.403121
140946,123194,93478.1,2853.24,0.41226
153085,169647,94130.2,2662.59,0.448815
85133.5,157928,105828,2175.27,0.450845
120293,112270,87775,2168.76,0.469123
152027,125433,97211.2,2840.22,0.560511
71912.2,109657,105355,3033.66,0.575742
181906,183442,100636,4150.59,0.606204
164763,165541,101052,3917.16,0.627528
150321,137202,91468.2,2106.45,0.66916
85438.8,105659,93688.2,2946.24,0.682361
155243,142080,93100.6,3952.5,0.760548
136122,144897,95333.2,3027.15,0.778825
134405,163089,102321,3932.04,0.782887
75231.4,74089.7,85250.7,2111.1,0.789995
179749,176150,103338,3182.46,0.795072
