"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
87491.2,55131.9,74968.9,2261.35,0.204247
160515,152920,90472.8,4345.25,0.207251
92869.4,101904,85085.8,2352.35,0.208252
162089,117252,82290.2,2387.84,0.208252
145700,121972,83714.3,2322.32,0.212257
126468,67503.1,76486.1,2291.38,0.214259
100488,79238.4,79537,2306.85,0.224271
103298,95586.9,85463.5,2324.14,0.23128
49115.7,57820.3,81945.2,2151.24,0.233282
88997.8,114396,91539.5,2265.9,0.235284
155653,130954,86881.1,2454.27,0.236286
123490,96714.9,79950.4,2354.17,0.239289
117504,124356,90197.8,4220.58,0.246298
96926.4,123390,92905.6,2379.65,0.251304
105748,83863.2,81950,2230.41,0.257311
160794,117076,84800.2,4236.05,0.260315
130164,105877,80819.7,2367.82,0.260315
219506,155284,91832.4,4410.77,0.261316
136593,110780,83320,2409.68,0.277335
119251,82199,78449.9,2251.34,0.279338
181366,146571,90919.5,4610.97,0.280339
162103,179775,100180,4601.87,0.284344
138766,157805,100963,4397.12,0.285345
147413,169077,97172,2568.93,0.287347
109291,130822,93616.2,2467.01,0.290351
137299,118882,88178.7,4477.2,0.293355
127245,122735,93380.3,4378.92,0.308373
107332,77781.8,77844.8,2305.03,0.319386
138720,121489,87963,4145.05,0.326395
120305,106439,82922.4,2278.64,0.333403
144624,115375,88177.4,2783.69,0.338409
79549.8,91988.1,91007.7,2412.41,0.338409
95127.9,83961.1,80291.8,2248.61,0.341413
151003,89171,78336.6,2346.89,0.348421
70831.7,61394.3,80350.2,2112.11,0.351425
114250,104491,86287.3,2255.89,0.370448
122915,115841,85896.8,2392.39,0.386467
133315,104249,82867,2436.07,0.386467
105605,96755.6,85722.4,2358.72,0.398482
132860,84855.9,82526.3,2222.22,0.410496
129764,117786,88483.7,2366,0.415502
133092,122305,81764.1,2497.95,0.416504
125834,97456.9,83679.7,2414.23,0.420508
146775,113235,79533.8,2283.19,0.444537
130042,98893.7,81128.3,1939.21,0.444537
89893.8,97893.5,90274.7,2212.21,0.453548
97937.4,110754,96159.4,2342.34,0.45455
98832,69963.2,78081.6,2353.26,0.458554
141634,143746,86542.1,2156.7,0.468567
107840,124210,93434.4,3880.24,0.468567
129412,112680,86817.3,2296.84,0.477577
144923,108977,87549.9,3329.69,0.478579
136957,114446,86289.2,2293.2,0.483585
133047,134443,92396.4,2379.65,0.4966
127795,128979,87824.4,2346.89,0.497602
109340,112629,87219.2,4374.37,0.499604
140716,89049,79788.9,2404.22,0.505611
97814.6,83100.4,77970.3,3353.35,0.511619
103049,85638.6,82036,2431.52,0.511619
132504,81875.4,79995.6,2244.97,0.527638
131474,91218.7,79714.5,2421.51,0.531643
63946.9,62813.6,78898.9,2343.25,0.535648
83833.3,76158.3,83953.4,2287.74,0.535648
147323,106362,84518,2322.32,0.53765
106506,92555,84646.5,2490.67,0.53765
123090,92862.9,83127.7,2286.83,0.542656
96057.3,102973,87043,2414.23,0.544659
89894.5,81785.7,81606.4,2416.05,0.546661
100995,82471.3,81388.4,2352.35,0.552668
89059.6,66303.7,82635,2235.87,0.561679
95872,78913.1,75022.1,2187.64,0.568688
141704,109431,87292.5,2702.7,0.581703
96973.2,72918.8,78481.4,2292.29,0.583706
141210,93673,82358.9,2343.25,0.585708
174277,117676,82553.6,2948.4,0.587711
131363,107595,81451.9,2414.23,0.588712
132238,155925,98227.7,3125.85,0.592717
160904,114841,83764.5,2419.69,0.597723
116151,95069.9,82800.6,2406.95,0.608736
118987,110623,90124.6,2401.49,0.617747
127997,109434,85304.1,2430.61,0.619749
106169,84207.6,78648.9,2367.82,0.619749
132782,94870.7,81420.6,2380.56,0.621752
100045,114019,86637.8,2354.17,0.622753
62072.5,107114,99038.1,2410.59,0.626758
80866.9,104115,84776.1,2232.23,0.62876
137085,91734.1,80881,3670.94,0.631764
88973.6,137570,103526,2296.84,0.632765
82970.6,154133,100673,2387.84,0.634767
127684,121916,88531.7,2404.22,0.63677
109537,102058,85887,2342.34,0.637771
151831,104075,83273.9,2896.53,0.640775
170833,114837,83232.5,2429.7,0.641776
168272,113515,85096.6,4456.27,0.64478
182820,159657,100652,4448.08,0.645781
87127.6,89644.1,86832.6,2374.19,0.651788
121230,134406,94765.3,4429.88,0.659798
158179,115601,83569.7,2736.37,0.66981
99485.9,92188.1,88175.9,2325.96,0.66981
130200,100884,84041.4,2319.59,0.675817
90386.5,64076.8,78220.4,2296.84,0.677819
100625,72368.5,78285.1,2317.77,0.68683
109726,101319,84797.1,3436.16,0.691836
107120,96612.8,81526.8,2490.67,0.69484
113194,88787.6,84984.2,2413.32,0.699846
124819,96248.5,81245.5,2319.59,0.705853
82208.8,119111,81538.1,2415.14,0.709858
113245,84151.2,79136.4,2402.4,0.73589
88071.2,94999.3,84753,2405.13,0.738893
127707,139023,98150.1,2458.82,0.747904
160318,118807,91071.3,4252.43,0.755914
140596,106556,83475,3884.79,0.769931
107490,83945.4,80042,2249.52,0.774937
102399,109856,88417.1,2379.65,0.777941
108814,101723,90629.5,2250.43,0.781945
87272.5,100223,88880.5,2346.89,0.784949
92923.4,72207.5,79319.3,2341.43,0.788954
154380,112330,85384,4423.51,0.790956
108629,93175,84292.5,2406.04,0.792959
116351,65780,77293.3,2410.59,0.795962
112371,87453.8,81417.3,2474.29,0.802971
100989,129751,92305.7,2614.43,0.802971
125586,102172,87211.9,2650.83,0.805974
