"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
98743,79589.2,89473.6,2889.51,0
98637.1,112080,97205.6,2105.52,0.0061092
107226,87132.4,90883.6,1775.37,0.0081456
158129,130468,92979,3096.9,0.010182
188688,144414,92445.5,3199.2,0.0122184
104136,94933.4,89760.3,2058.09,0.0132366
102536,110400,92976.4,1784.67,0.015273
94990.3,105946,93684.9,1888.83,0.0173094
50094,57502.2,84417.1,2598.42,0.0224004
117871,105659,88814.3,2162.25,0.0285096
143047,187660,114434,3268.02,0.0325824
117712,79018.8,77729.5,2045.07,0.0325824
143222,125031,92915.9,2914.62,0.0346188
115267,89127.4,86059.8,1943.7,0.0529464
190140,145712,93332.4,3735.81,0.056001
91887.8,88824.1,94676.4,3033.66,0.0570192
72832.3,84765.2,93207.6,2019.96,0.0600738
78547.7,62813.5,79674.6,1926.96,0.061092
219998,177682,114090,5125.23,0.0641466
127126,70288.7,78606.8,1907.43,0.0641466
140044,85482.6,79693.1,1869.3,0.0672012
115880,87326.4,86611.4,1971.6,0.0682194
115729,121848,96956.4,1941.84,0.0682194
161306,145283,97146.9,3338.7,0.0692376
132653,120029,101259,3117.36,0.0692376
125131,144248,106611,3240.12,0.0692376
82568.9,75784,80942.9,1767,0.0702558
119007,118693,103416,2468.22,0.071274
139641,113879,97648.3,3428.91,0.0722922
152470,77112,77427.4,2023.68,0.0753468
123416,93769.2,94264,3282.9,0.076365
162135,156170,96982.7,2837.43,0.0773832
133597,132076,95940.1,3761.85,0.0794196
134517,103397,94161.6,3434.49,0.0794196
141336,128421,95452,3467.04,0.0804378
108770,106434,88494.8,1860.93,0.0804378
143482,124482,90105.5,2858.82,0.081456
114468,66696,76990.6,2116.68,0.0845106
105723,75931.8,80407.6,2052.51,0.086547
147565,85840.4,77206.3,3647.46,0.0875652
82065.6,67281.5,90682.8,2047.86,0.0926562
118940,80279.6,81872.5,1872.09,0.0946926
83697.8,65588.9,81015.4,1879.53,0.100802
108244,84365.4,89713.8,2211.54,0.108947
167552,132900,99231.2,3348.93,0.109966
107614,139204,94313.7,3754.41,0.114038
202223,170516,100316,3413.1,0.115057
109728,114289,102456,3281.97,0.115057
100586,104443,90789.2,2609.58,0.115057
129264,126990,94184,2989.02,0.121166
127095,100564,84692,2321.28,0.126257
118002,155564,90982.4,2790.93,0.126257
