"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
169253,171710,98277.4,2265.9,0.207141
156328,121944,94156.8,2476.11,0.214145
135507,157959,93556.2,2249.52,0.248168
137566,130922,93602.6,2457.91,0.264179
93432.4,129251,100798,2389.66,0.275187
132316,140224,93976.2,2316.86,0.288196
157221,111130,86437.4,2548.91,0.293199
104384,96205.3,80920.4,2436.07,0.297202
140782,138314,103136,2304.12,0.306208
83235.4,76340.9,87858.1,2275.91,0.394268
176319,182545,101378,2155.79,0.395268
153197,110051,83359.3,2446.08,0.39827
181605,153307,94586,4058.6,0.413281
149366,166350,103952,2336.88,0.419285
201210,146622,87350.8,2357.81,0.420285
122047,125928,92377.2,2511.6,0.428291
225233,174421,93721,2477.93,0.464315
131248,106957,89041.7,2364.18,0.476323
165488,113156,81091.5,2435.16,0.477324
166586,97411.3,79488.3,2349.62,0.479325
114763,118423,92732.3,2064.79,0.479325
165953,131650,97796.4,2184,0.481327
215937,230220,108392,2619.89,0.494336
106006,118747,99819.4,2296.84,0.498338
200863,155795,96105,4305.21,0.499339
124031,114726,87476.3,2390.57,0.503342
152648,179331,114211,4559.1,0.51535
147338,82725.3,82793.5,4240.6,0.520353
109118,130620,97290.3,2403.31,0.579393
146206,133954,94534.8,2441.53,0.598406
156543,136899,91204.1,4095,0.598406
153508,105901,87077,2362.36,0.623423
114610,117418,89760.5,2314.13,0.629427
110298,108816,90041.6,2278.64,0.641435
125177,121868,99686,2340.52,0.654444
97928.2,114015,89971.7,2406.04,0.665452
119269,116336,88045.4,2319.59,0.671456
106186,85759.8,85586.1,2242.24,0.672456
91816.5,69990.6,82935.3,2344.16,0.685465
141585,110434,97160.7,4127.76,0.744505
89692.9,103992,94678.5,2257.71,0.773525
155319,201888,117979,4478.11,0.778529
166317,216247,117342,4235.14,0.786534
97196.2,128178,99326.7,2239.51,0.838569
178483,130316,91090.5,2062.06,0.845574
159454,97860.3,82197.4,2476.11,0.855581
111637,103191,92547.1,2387.84,0.86859
93622.7,95562.9,83780,2354.17,0.902613
144929,142207,91374.9,2593.5,0.911619
99542.7,66870.6,81763.3,2098.46,0.937636
173527,162014,100830,2344.16,1.09674
74346.2,83317.1,94254.7,2412.41,1.11576
141683,166997,107576,4120.48,1.12076
136651,97313.4,84871.9,2210.39,1.12376
124882,109430,90862.4,2349.62,1.14578
173474,111009,86478.6,2386.02,1.14878
110530,75902.7,80314.5,2386.02,1.16279
199260,150642,97935.2,2507.05,1.16879
125467,100146,85870.6,2200.38,1.29188
91937.2,110263,88025.6,2133.95,1.30288
162579,124555,84808.5,2423.33,1.30389
215065,153816,93484.4,4646.46,1.31689
153812,127256,89581.7,2397.85,1.3259
72134.6,72664.8,79438.2,2315.95,1.36693
151307,151048,92779.8,3743.74,1.38094
94550.7,94299.6,87114.9,2319.59,1.39395
173686,182031,98473,2513.42,1.40295
129581,114876,89674.4,2386.02,1.43097
69303.1,126757,107264,2233.14,1.44198
100561,82878,81413.4,2350.53,1.46199
88400.7,99248.1,97819.6,2361.45,1.46199
124204,98561.7,87584.2,2333.24,1.48
111752,161871,111656,2514.33,1.49301
154874,152666,97006.2,2473.38,1.49301
142654,120085,86715.9,2426.97,1.49501
179496,114269,83621.9,2587.13,1.49501
104790,128624,84557.3,2542.54,1.51303
