"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
140242,119455,92922,3474.48,0.00700673
150879,147828,96698.9,3998.07,0.0330317
141417,109776,89227.1,2046.93,0.0330317
115175,122016,93525.5,2542.62,0.0340327
158121,140398,94370.2,3652.11,0.0340327
120685,114042,90390.4,2004.15,0.0370356
163411,152704,101667,3164.79,0.0400384
215484,135458,88608.3,4318.92,0.0600577
103459,80086.4,81993.1,3391.71,0.0620596
114154,117099,105055,3834.39,0.0730702
97516.8,111187,89632.7,1985.55,0.0740711
206009,158843,92002.1,3959.01,0.077074
143565,114238,86799.6,2061.81,0.077074
124125,106084,98228.2,2763.03,0.077074
181341,168577,97761.8,2154.81,0.078075
144091,141294,93398.8,4480.74,0.078075
119217,79417,80846.7,2085.99,0.0800769
80299.4,122923,107853,2517.51,0.0800769
81401.8,62097.8,78088.2,1768.86,0.0840807
154108,121194,90456.1,3217.8,0.113109
172462,158588,97993.7,4158.03,0.113109
166742,126806,89245.7,2839.29,0.11411
224467,132691,83872.5,3731.16,0.11411
179859,164921,102169,3541.44,0.116111
72639.4,83559.8,87096.3,2022.75,0.117112
142106,129562,99305.9,3819.51,0.147141
156816,135765,101624,3676.29,0.149143
140250,99663.5,84846.2,2225.49,0.152146
143027,118949,96765.7,3606.54,0.183176
117431,102786,86030.2,2335.23,0.185178
94675,89090.4,94290,1893.48,0.201193
160821,118597,84899.5,3936.69,0.203195
118139,101145,84363,2099.94,0.203195
145597,127026,94653.2,3934.83,0.204196
130771,123746,94151.5,2598.42,0.238229
156534,116815,86738.7,3393.57,0.25024
193409,123156,86417.5,3531.21,0.273262
125503,115655,90427,2977.86,0.299287
94785.8,84699.7,80334.6,2050.65,0.303291
113185,122637,90749.2,2014.38,0.311299
89792.6,107469,95476,2936.01,0.313301
102889,68859.8,81515.8,1893.48,0.314302
133243,127948,105003,3343.35,0.315303
125435,125914,92011.1,3581.43,0.315303
143322,103303,86912.9,3272.67,0.316304
120843,116188,95137.2,2082.27,0.316304
146496,107886,89407.5,2433.81,0.317305
107051,82614.8,87033.2,1899.99,0.317305
139258,134868,98365.2,3409.38,0.317305
117291,97927.2,87364,2039.49,0.327314
121934,78135.1,82044.8,2445.9,0.359345
111060,100814,89816.1,1927.89,0.360346
167338,190882,99807.5,1981.83,0.361347
177924,145826,101212,3573.99,0.363349
134474,117832,95964.1,3584.22,0.36435
108863,89342.4,85037.1,2744.43,0.36435
123497,179761,113242,3924.6,0.365351
110107,147272,109822,3162,0.366352
172509,116789,85250.9,2438.46,0.369355
135348,133194,89397.9,2245.95,0.386371
146035,91565.9,80078.7,1808.85,0.415399
115152,89292,88185.9,3095.97,0.423407
87072.5,99910.4,95257.7,2044.14,0.42741
125707,81706.8,80208.8,1944.63,0.445428
120342,112148,93680,2922.06,0.445428
101799,87387.7,82684.3,2173.41,0.446429
160996,120275,87244.5,3737.67,0.449432
160181,146730,94925.3,3670.71,0.451433
147246,114661,88085.7,3644.67,0.451433
107694,111576,99027.8,3334.98,0.455437
156975,174888,108225,2379.87,0.455437
117253,94558,81096,2043.21,0.455437
141785,107076,82233.5,2246.88,0.480461
125785,127473,93700.3,3590.73,0.482463
135413,129919,89488.7,2433.81,0.483464
128254,80152,82084.6,2030.19,0.483464
147000,189650,118994,3586.08,0.485466
64843.9,123220,107652,3401.01,0.486467
130729,108996,88426.2,1924.17,0.488469
113806,133619,90017.8,2299.89,0.522502
133581,100133,89320.9,2826.27,0.549528
136714,145521,103162,3706.98,0.556534
102644,95444.2,91239.7,2068.32,0.558536
149412,115330,90104,3556.32,0.559537
115962,182355,108193,4335.66,0.560538
112818,75493.3,81060.5,1947.42,0.567545
130202,136254,102352,3467.04,0.573551
135490,133107,93468.4,2163.18,0.574552
127107,107754,88600.2,2545.41,0.640615
91905.8,88530.1,86104.8,1921.38,0.662636
147980,143203,92916.8,3159.21,0.664638
129707,122991,95134.3,3349.86,0.665639
108647,101040,90362.6,1776.3,0.680654
121546,111496,87406.2,3782.31,0.712684
110421,96543.7,86188.4,2277.57,0.738709
88839.4,141347,104292,2211.54,0.794763
128079,120597,96381.2,2324.07,0.799768
105849,149605,112897,2778.84,0.800769
136704,83823.6,81116.7,1762.35,0.815783
96742.8,74288.8,80547.1,3744.18,0.834802
159841,132122,96787.9,3587.01,0.836803
178193,161202,93723.6,2176.2,0.837804
114934,85044.1,85534.9,2853.24,0.839806
146682,142877,97131.8,1992.06,0.839806
133801,137009,107828,3085.74,0.840807
139107,125226,93625.5,3300.57,0.845812
133181,93978.4,80638,1913.01,0.852819
153002,144996,97434,3123.87,0.883849
113569,94750.3,85492.2,1939.05,0.907872
117881,100657,86238.9,1793.04,0.908873
124758,125378,87459.6,2312.91,0.911876
89855.3,104701,93566.3,3344.28,0.921885
128910,93147.6,88490.6,2989.02,0.943906
117146,111423,100551,3679.08,0.961924
156202,138072,96208.7,3415.89,1.00997
142455,83399.4,81188.1,2061.81,1.01497
188999,153560,93923.2,3671.64,1.037
158954,161577,98590.7,3587.94,1.037
155365,151871,95965.2,3806.49,1.039
112964,181653,115119,3944.13,1.039
136320,132817,95561,3708.84,1.04701
118702,99668.5,84529.9,1985.55,1.04701
152168,111408,87988.2,3764.64,1.05001
87490.1,111804,90442.3,2892.3,1.05301
133340,109826,86967.8,3109.92,1.05501
125639,86145.4,82296.5,2119.47,1.06502
129330,90681.4,85383.9,3593.52,1.06602
177595,148121,92593.5,3834.39,1.06602
116969,102373,87259.7,2322.21,1.06702
94738.3,102832,97178,3122.94,1.06702
156160,92736.8,84414.6,3624.21,1.06803
148247,125912,86488.2,3458.67,1.07403
106651,78246.8,80274,2022.75,1.08004
82175.8,90690.6,98933,1918.59,1.08304
141460,117935,89239.1,3300.57,1.09105
98758.1,146254,98751.4,3374.97,1.10506
71113,105370,87676.3,2029.26,1.11007
105633,100456,89999,2011.59,1.12608
118438,105979,91624,2025.54,1.1431
142879,143259,100450,3511.68,1.1501
118959,142057,109724,3452.16,1.15311
185535,160955,101767,4030.62,1.15511
99345.6,108914,98225,1999.5,1.15711
128038,99572.8,84009.4,2052.51,1.15711
122461,108609,90071.8,2146.44,1.21016
178152,115676,81866.4,2208.75,1.21717
128508,107738,90902.8,2019.03,1.22217
118502,102730,86230.5,2047.86,1.24319
151313,141868,99543.8,3480.99,1.24419
96928.6,61377.1,78685.7,1841.4,1.2532
161325,122293,88569.9,3706.05,1.25621
125137,92022.8,84711.9,1854.42,1.25821
110529,118354,97074.8,1836.75,1.26021
133582,136429,94103.3,3801.84,1.26021
127529,116086,93961,2179.92,1.26822
180586,140494,97326,3810.21,1.26922
196337,160076,95481.6,3566.55,1.26922
104210,79023,81556.7,2024.61,1.27022
146291,140518,94248.9,3635.37,1.27022
129961,126501,91178.5,3448.44,1.27122
169790,126725,86120.6,3708.84,1.27122
148447,112414,86016.6,2977.86,1.27322
128506,110281,86447.8,1971.6,1.27322
130545,105162,86525.2,1936.26,1.27322
129879,127196,99826.7,3342.42,1.27522
137430,130121,92244.3,3207.57,1.27823
138624,94804.9,82046.5,2004.15,1.31927
108289,142564,105700,3256.86,1.32027
152487,165801,110511,2487.75,1.32127
144314,150969,102492,2482.17,1.32327
141654,114400,86770.8,3578.64,1.32527
106971,126928,94418.5,2263.62,1.32527
188613,135436,110948,2141.79,1.32627
65239.2,103125,86891.3,1992.99,1.3533
114295,92964.5,80584.6,1951.14,1.38133
143675,117041,93596.6,1904.64,1.42036
122967,112649,88757.3,2402.19,1.46641
159893,123945,89818.1,1976.25,1.50044
230995,165450,92498.2,3887.4,1.51445
177801,109100,84545.1,2063.67,1.52046
99377.3,84808.1,86047.5,1892.55,1.52146
136279,165745,109830,3985.98,1.52346
148825,113673,88355.3,3638.16,1.52446
174810,148933,99422.1,3640.02,1.52546
145164,123364,94020.1,3064.35,1.53848
117756,83862.2,80031.4,1973.46,1.54248
204116,182768,102886,3876.24,1.54648
98172,115063,87829.5,2157.6,1.54849
134708,117970,90979.1,3268.95,1.55149
111279,90843.5,84914.4,2107.38,1.5645
124256,126683,84919.2,2203.17,1.56851
177889,127945,92845.2,2809.53,1.56851
112922,93562.6,85038.7,2076.69,1.57351
115606,94508.4,85106.4,2157.6,1.59453
139789,102131,84539.3,1859.07,1.60554
135286,186669,102451,3616.77,1.60554
150648,117785,89250,3415.89,1.60654
93575.5,158166,100290,2689.56,1.60955
129637,114851,87523.6,2436.6,1.61655
109356,91562.5,83389.7,2004.15,1.65759
139002,135766,104710,3305.22,1.68462
190508,228318,104753,3905.07,1.68462
116569,155355,113819,3748.83,1.68762
155940,106485,85029.3,2151.09,1.7717
146397,123632,87985.8,2104.59,1.7747
130123,98668.1,88943.9,2148.3,1.77971
124289,126395,108047,3041.1,1.78171
132294,132348,103114,2511.93,1.78571
211258,152341,91642.4,3798.12,1.79673
144528,146121,90745.7,2592.84,1.82475
156671,124111,93257.5,3719.07,1.82776
161939,134809,91466.6,2902.53,1.82876
138576,129089,91693.9,3665.13,1.83576
127268,129789,108587,3935.76,1.83676
97090.6,76618.9,78951.2,1935.33,1.85979
89943.1,60414.5,78405.5,1869.3,1.8788
104113,172369,109126,1820.01,1.8788
88098.5,80411.5,75432.3,3320.1,1.89482
120244,86419.2,79998.4,1963.23,1.92285
48980.2,75447.1,94640.7,1942.77,1.92685
115888,110518,91385,2329.65,1.95288
149521,116726,90152.7,3153.63,1.96188
93749.8,67594.8,84231.3,1889.76,1.97089
110153,104135,87773.7,1973.46,1.9759
134945,154463,95947.2,3485.64,1.9799
144833,147829,101150,3897.63,1.9819
120426,78131.8,76496.5,1876.74,1.9829
138568,141697,98767.9,2099.94,1.9839
182960,209275,103811,3803.7,1.98691
152493,116028,88874.8,3253.14,1.99091
112221,94447.1,84961.3,2103.66,1.99191
106271,151808,93420.4,2090.64,1.99492
148362,159174,102247,2750.94,2.00392
155593,138230,91299.5,4052.94,2.00693
120532,80345.2,82469.3,2019.03,2.02895
147252,163220,97580.8,3934.83,2.03195
107474,122851,92508,1892.55,2.079
146537,143086,96980.7,2885.79,2.079
155531,154794,95715.5,3255.93,2.10502
117064,70714.6,79328.1,1866.51,2.12104
180441,128731,88491.4,3817.65,2.13405
135125,89792.6,83026.2,2019.03,2.17309
116047,122721,94770.2,1814.43,2.1861
141472,124064,93442.8,2154.81,2.1871
159234,119469,85748.5,2697.93,2.1881
99018.7,79899.1,88953.9,2049.72,2.1881
135427,152305,111260,3862.29,2.1911
126958,112484,89593.1,3542.37,2.19511
116253,65520,76742.9,2018.1,2.19711
135693,122339,91601.8,3140.61,2.19811
113912,88898.9,79776.5,1986.48,2.20712
145967,152898,102139,3703.26,2.21112
132838,163430,96002.5,3729.3,2.21312
165691,108990,87402.2,3790.68,2.21513
150037,135625,96336.6,3809.28,2.22514
96253.2,99327.5,90033.7,1856.28,2.24115
185116,114347,82161.9,2778.84,2.24916
106734,111089,88075.7,1992.06,2.26117
121682,103874,82147.9,1897.2,2.26217
149224,94526.9,84138,2166.9,2.26417
115672,98316.1,79647.5,1960.44,2.2882
119794,83394.4,79690.5,2088.78,2.2952
127058,133455,109626,3682.8,2.30722
154227,126683,92900,3938.55,2.35626
142036,160046,102939,4096.65,2.36027
112095,103106,86918.6,1979.97,2.37928
152801,108656,82750.7,3360.09,2.3933
138604,81662.3,81547.8,1992.99,2.40431
146688,92792.3,80298.4,2026.47,2.40631
134565,119970,98850,3830.67,2.41332
176928,141211,93827.4,2807.67,2.41432
155830,138061,96203.6,3928.32,2.42032
120180,93601.2,86818.5,2071.11,2.45336
177371,151523,100896,3932.04,2.46036
154097,105782,80320.4,2110.17,2.47938
191583,135047,96934.7,3544.23,2.5024
133074,109255,82742,1873.02,2.50641
162716,123178,108111,2249.67,2.52843
100817,103514,88547.6,2005.08,2.54344
115516,98905,93669.5,2112.96,2.55746
130057,157916,95909.1,3627,2.56346
145050,109402,85624.9,3534.93,2.56847
84157.9,86765.3,82042,1941.84,2.58248
137267,139641,103613,2594.7,2.6015
115339,125982,92650.7,3028.08,2.66055
106932,94397.5,90540.3,2131.56,2.66356
131235,106808,92168.7,3874.38,2.69659
158835,175024,91298.5,3450.3,2.7046
133295,95097.2,92731.4,2375.22,2.73262
91316.9,92744.4,90206.3,2296.17,2.73362
148497,112368,86017.4,2166.9,2.73463
161709,124325,89080.7,2227.35,2.74363
99561.6,84559.4,83650.6,1903.71,2.75064
152081,123232,91276.5,2142.72,2.76265
134370,91540.7,82467.9,2853.24,2.76966
113427,80004.1,83387.4,1900.92,2.77466
84817.4,102105,99054.4,2415.21,2.78267
124018,115949,84735.3,2054.37,2.79168
143926,137190,95745.8,3866.94,2.79568
101596,78505.6,85633.4,2382.66,2.79669
117395,109572,98853.5,3804.63,2.79869
215857,131083,86234.1,3877.17,2.80069
161455,147550,98229.9,3911.58,2.8157
202517,165605,99335.5,4025.97,2.81771
145796,138140,93663.3,3694.89,2.81871
139352,110890,86133.9,3547.95,2.82772
107016,89334,89077.1,2089.71,2.84373
120136,116264,92104.6,2006.94,2.88177
112312,112580,94503.2,2003.22,2.90279
149453,133836,94538.6,3408.45,2.90379
158041,133362,99276.4,3852.06,2.90379
155559,104083,81830.7,2029.26,2.90979
100481,75534.5,80157.8,1918.59,2.93282
140460,121804,88916.4,3560.97,2.93782
127596,81028.9,78332.4,1922.31,2.94182
141317,115622,87084.4,3306.15,2.94483
184435,148368,95397.3,3853.92,2.94783
151177,117487,82712.9,3197.34,3.03792
147816,94017.8,82413.4,2104.59,3.05193
143604,121876,91847.5,4035.27,3.05493
160977,96511.8,86364.6,3733.95,3.05994
94570.6,101000,93929.7,2071.11,3.06394
144346,152933,95029,3706.98,3.06394
94074.5,109162,105075,3259.65,3.07095
164196,144233,90808.7,3619.56,3.07595
139262,101123,87172.1,2066.46,3.07996
89856.7,69337.8,78470,1874.88,3.15603
141434,137453,93721.6,3687.45,3.16404
89982.7,89537.3,81986.2,1907.43,3.16604
141124,109578,92327.2,3727.44,3.18005
135567,88651.9,80881.7,1930.68,3.18105
89583.1,93452.5,97048,2465.43,3.19106
145835,103932,81368.9,2908.11,3.21709
98912.2,97687.8,99843.5,2763.03,3.22309
107217,98980.6,99694,3791.61,3.23611
105803,79570.7,84726.5,2170.62,3.23911
176099,112506,88090.9,3910.65,3.24211
180287,165133,105249,3884.61,3.25813
115145,109056,88835.9,2067.39,3.26013
106136,160675,105874,3662.34,3.26013
144088,117743,87292.5,2533.32,3.26113
141163,147579,100302,3979.47,3.26514
126181,92316,88766,2062.74,3.27615
107249,116668,93695,2099.94,3.28215
138821,111298,100748,2206.89,3.29616
177474,157655,97563.8,3571.2,3.32419
156099,111119,86573.1,2301.75,3.3282
124145,100233,85940.6,2083.2,3.33921
148799,137558,95659.3,4475.16,3.36023
135741,102672,88420.8,3019.71,3.45932
178428,122357,88218.4,3824.16,3.46533
156815,101072,81618.9,3164.79,3.50537
130852,122321,90769.7,3789.75,3.52138
134143,119346,89287.4,3597.24,3.5364
183543,142145,83444,2318.49,3.54641
147989,157248,107240,3879.03,3.58444
125430,124975,95105.3,2930.43,3.59545
165585,137012,92352.8,3739.53,3.62348
185922,203709,108208,4278,3.62648
153466,142137,97997,4002.72,3.6435
