"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
160476,113827,85017.4,3362.45,0.23339
104832,145711,106247,4038.58,0.235394
130928,109954,80764.4,2643.55,0.240402
111158,99968.5,89866.5,2232.23,0.265444
116534,108919,86247.9,2214.94,0.34658
101375,84579.5,85105.4,2249.52,0.467783
156271,114601,88438.5,4259.71,0.474794
97968.6,102096,90224.4,2410.59,0.475796
159199,183569,104078,4569.11,0.478801
88612.3,104553,94438.2,2226.77,0.488818
108832,169635,114627,2278.64,0.48982
168650,125206,89840.2,4337.06,0.521873
130700,107415,87574.2,2271.36,0.526882
136299,194789,105724,4448.08,0.53189
92612.4,128671,104316,2705.43,0.539903
128636,137919,96613,4012.19,0.551923
133059,130096,95323.9,4409.86,0.557934
91772.5,75745,83655.3,2161.25,0.607016
165876,100800,82820.9,2845.57,0.616031
106442,92558.3,84226.4,2147.6,0.630054
105892,125252,96160.1,4068.61,0.631056
127503,164766,105029,2332.33,0.637066
120888,98726.8,86973.9,2361.45,0.683143
179092,143353,100528,4313.4,0.685146
71173.2,97405.5,93771.2,2235.87,0.70518
117687,108154,87650.9,2186.73,0.728218
118101,93506.1,85330.6,2353.26,0.73523
85902.2,85624.5,88070.3,2275.91,0.743244
95810.2,106558,91251.4,2275.91,0.745247
98545.2,84054.9,82648.8,2335.97,0.745247
157798,127137,92851.7,4125.03,0.745247
140498,109940,82583,2327.78,0.746249
140885,115042,87655.2,2151.24,0.777301
149608,145608,93230.8,2551.64,0.789321
100572,92979.1,85769.3,2247.7,0.857435
108871,116946,95502.7,4592.77,0.88448
152083,123150,87457.9,4688.32,0.889488
130686,103728,86416.4,3819.27,0.909522
120914,137429,94727.9,2184,0.92054
123118,139984,95848.3,2739.1,0.921542
132499,99005.7,87056.9,2109.38,0.922544
99943.1,109456,87905.2,2386.02,0.923545
103867,113251,95490.8,2180.36,0.923545
102208,118392,90593.1,2275,0.925549
216743,237603,102121,4186,0.928554
128478,83027.4,79260.1,3194.1,0.953596
134522,111740,84310.6,2264.99,0.963612
141649,132250,94426.4,4133.22,1.02672
122993,86483.5,80459.1,2251.34,1.08181
123531,89435.8,81009.3,2388.75,1.08582
86808.1,93124.3,84488.1,2584.4,1.08882
109639,121524,86822.5,2295.02,1.09083
124292,100942,80771.4,2162.16,1.17196
85927,72923,80512.8,2065.7,1.18098
149035,101116,82358.9,2414.23,1.21103
89066.7,64227.1,76908.2,2265.9,1.22605
192256,123913,90692.4,4158.7,1.22906
104240,66298.7,78812.9,2072.07,1.27113
107636,106337,87966.8,2156.7,1.29016
95913.9,134106,99284.9,4178.72,1.29417
110864,75547.4,80966.1,2176.72,1.33023
96276.7,110847,96835.9,2135.77,1.33824
180259,161208,95198.1,4528.16,1.34625
144348,122859,87107.5,4327.05,1.34926
98987.5,86031.2,89112.4,2617.16,1.37931
106568,72515.4,79546.9,2309.58,1.38832
197460,143164,90508.8,4049.5,1.41737
145162,100775,82757.9,2190.37,1.44943
100047,125431,97556,3618.16,1.45443
103518,76877.9,83022,2610.79,1.48448
109755,92885.3,85106.5,2582.58,1.52856
99171.4,85125.6,84426.1,2107.56,1.53357
106511,106128,87862.6,2343.25,1.5536
158361,169075,99843.3,2586.22,1.55861
73923.1,60097,80520.8,2118.48,1.56562
91401.1,98482,90488.8,3331.51,1.59266
96617.5,110768,88357.4,2303.21,1.59367
91170.4,92527.6,86093.2,2272.27,1.60168
106034,108691,85097.5,2605.33,1.6107
100902,104197,87890.1,2171.26,1.62372
84424,71919.5,80158.4,2324.14,1.70085
75093.9,111770,90764.6,2298.66,1.72489
82188.2,120161,94815,2286.83,1.74792
102952,108428,85562.1,2329.6,1.76796
85529.4,112803,93671.4,2221.31,1.77697
140930,177511,103794,2485.21,1.83207
86989.9,118105,93371.4,2212.21,1.83307
185097,157977,93123.5,4278.82,1.87714
148283,114249,93597.2,2210.39,1.88115
80490.6,91765.6,92776.4,2308.67,1.88816
131089,88927,80786.3,2318.68,1.89517
116583,109324,88980.1,2490.67,1.90419
171369,154341,95695.2,4560.92,1.93323
139205,141410,98365.2,4182.36,1.94826
102089,87296.9,86459.2,2408.77,1.96429
101719,74556.4,81209.4,2199.47,2.01537
99358.1,109664,92488.7,3720.99,2.02739
105739,106618,86019.3,2465.19,2.0334
74190,59557.5,78453.9,2301.39,2.04442
122543,88666.4,83447.1,2352.35,2.04843
142670,102152,81527.7,2248.61,2.07447
118322,137743,104175,4689.23,2.09551
100178,94926.3,83784.6,2340.52,2.09751
101986,120018,96223.5,3680.04,2.1486
104316,87847.2,85724.2,2202.2,2.18165
157929,127975,87639.2,2857.4,2.24275
101250,115068,99778.9,4357.99,2.24676
119822,104762,86293.3,2444.26,2.29985
144376,110107,83717.8,4043.13,2.35294
111396,83383.5,81132.8,2956.59,2.35995
119594,80948.2,83404.5,2354.17,2.36496
151777,144402,92755,4188.73,2.48916
114819,101682,88867.4,2392.39,2.48916
106505,98491.1,90494.7,2400.58,2.49618
132453,137334,96658.3,4360.72,2.53825
171165,159803,96958.4,4383.47,2.54426
149346,128848,93695.9,4154.15,2.55828
122451,68970.5,84363.9,2821,2.5693
140493,86300.9,80049.5,2371.46,2.57731
79890.6,88995.1,85516.3,2256.8,2.61037
120606,110568,87288,2554.37,2.61538
158514,197498,116961,4551.82,2.64042
82813,78597.7,89206.8,2194.01,2.65444
139893,102948,79045.1,2693.6,2.67648
115550,101797,83948.3,2365.09,2.68549
99116.7,157161,112715,4283.37,2.6865
128049,123194,89145.8,4223.31,2.69551
127159,82103.6,80725.3,2324.14,2.72356
106709,108098,92947.6,3951.22,2.77164
104398,59516.8,76736.1,2287.74,2.80469
118086,82343.5,78777,2396.03,2.83474
84161.3,94947,84148.5,2266.81,2.8658
118003,133515,97388,4509.96,2.87882
120899,124267,93994.3,4359.81,2.88483
116996,96183.7,84532.4,2375.1,2.95695
127631,173744,108570,4383.47,2.96396
174484,191388,101012,4486.3,2.97498
135747,87517.7,85173.1,3331.51,2.99802
117654,123716,98872.4,3973.06,3.06513
104217,85787.1,84724.5,2881.97,3.09418
106336,81716.8,81679.4,2405.13,3.10319
124931,113295,92993.8,3661.84,3.11321
115844,61820.1,77279.2,2417.87,3.14626
101833,85995.5,83884.8,2320.5,3.1663
118186,119897,89311.8,4006.73,3.19735
166315,144047,90035.2,3633.63,3.20536
98164.6,109110,91769,4514.51,3.21037
158607,142169,104380,4125.03,3.25344
121359,119332,85374.6,2486.12,3.32256
120180,87700.3,77851.3,2424.24,3.36463
173902,143982,87346.8,3811.08,3.37364
131129,97530.8,83492.6,4522.7,3.41572
108098,113208,95412.6,2349.62,3.41672
181421,134250,85641.5,4150.51,3.42573
117488,82765.9,81479.1,2353.26,3.44677
86901.9,88754.4,86570.8,2328.69,3.47081
78901.6,92853.8,88460.2,2315.04,3.47281
83276.6,71993.4,80198.5,2357.81,3.47982
133108,173360,99704.7,4268.81,3.51087
138005,138689,93177.7,4693.78,3.51388
78335.7,79284.1,84814,2664.48,3.53491
174791,156438,92688.7,4222.4,3.54794
120583,116838,97641.1,4307.03,3.55395
124026,110627,92584.6,4346.16,3.59802
157231,140375,88001.5,2392.39,3.62106
156670,140668,90585.1,3159.52,3.7032
78899.5,96399.5,83635.2,2441.53,3.75829
110979,89919.7,87309.9,3358.81,3.77031
112050,105923,94311.1,4176.9,3.77732
97806,87339.2,81608.6,2216.76,3.81639
77201.1,61114.6,82171.5,2338.7,3.81939
81517.2,90825.2,89178.7,2315.04,3.8244
105126,63200.3,80216.5,2247.7,3.83041
130965,88860.6,79537.4,2297.75,3.85445
158794,111586,86729,3836.56,3.86246
164620,146104,95192.9,4627.35,3.8865
159044,131944,93933,4406.22,3.89351
106595,109968,87924.3,2376.92,3.90654
103344,86489.3,80794.9,2291.38,3.90654
145867,158068,94471.9,4499.04,3.91555
66201.8,133049,107287,2475.2,3.96564
134500,132483,95379.6,3810.17,3.99368
91731.3,101689,88659.9,2362.36,4.0057
118248,156054,107333,4394.39,4.00971
116414,94859,84684.4,2314.13,4.01372
141134,132779,97024.3,4283.37,4.05579
116579,108924,86565.6,2449.72,4.09786
115295,126221,98231.2,4560.92,4.10387
124943,128665,94734.1,2503.41,4.10587
154803,107059,84995.8,4246.97,4.10687
121316,101434,83723.9,2356.9,4.11188
118717,124655,92583.7,4407.13,4.1249
101592,123943,86165.5,2378.74,4.1259
103910,89758.7,87356.7,2280.46,4.12791
134142,158835,92860.2,4554.55,4.13292
114404,88536.9,81078.1,2281.37,4.14594
104611,64854.5,77307.8,2281.37,4.16397
123373,137456,87626.3,2347.8,4.16797
111838,139624,95211.7,2569.84,4.17098
126288,131451,90980.8,3651.83,4.26614
119345,136409,97575.7,4163.25,4.27916
134617,159949,102715,4661.93,4.31622
81732.4,81769.1,80214.7,2291.38,4.35228
145608,92695.2,78690.1,2707.25,4.41038
71531.1,99513.7,88598.4,2450.63,4.41839
94050.9,73350.4,77112.1,2398.76,4.42641
169997,180254,99477.9,4075.89,4.46647
121405,119152,95725,2238.6,4.49652
122256,69568.1,78463.8,3488.94,4.51255
65209.2,86268.5,90172,2211.3,4.51255
136424,98290.3,86069.8,2361.45,4.58768
92664.9,101194,81099.1,2243.15,4.59569
109952,112512,87938.1,2896.53,4.61773
87083.6,92510.1,87336.8,2357.81,4.67282
132874,109721,85944,4664.66,4.74794
79146.5,81496,88587.2,2471.56,4.74995
128717,145565,102017,4073.16,4.82407
109857,104285,97660,3717.35,4.82708
138435,107636,85190.6,4374.37,4.84511
147099,96639.4,80995.5,2241.33,4.88417
80261.9,72621.7,83574.8,2275.91,4.91623
100988,95066.5,86353,2938.39,4.91623
146705,123281,85650.5,2756.39,4.95229
99290.7,102473,90126,2363.27,4.98534
133503,102496,95130.6,4152.33,4.99235
103232,95866.7,84807.6,2386.02,4.99636
151957,128652,89276.9,3031.21,5.00337
143008,118780,86980.8,4235.14,5.01138
119191,99341.9,84548.3,2352.35,5.07549
105497,124218,93330.3,2478.84,5.08851
148281,92092.6,81358.1,2280.46,5.11957
116766,110908,84256.4,2423.33,5.16765
180144,139889,88845.3,4301.57,5.34394
125120,85666.8,80988.1,2646.28,5.42307
135410,97172.3,82260.5,2399.67,5.46314
148793,107309,85872.4,3390.66,5.48017
98136.9,86305.1,84527.7,2532.53,5.48618
117064,118893,91495.3,3801.07,5.49219
131571,136105,100832,4724.72,5.4972
100175,105334,83778.7,2485.21,5.52725
178838,165202,100580,2497.04,5.53326
107456,95848.4,84095.6,2313.22,5.57032
163918,129927,93953.6,3908.45,5.59737
149564,112284,82846.2,4389.84,5.62341
107586,82385.8,81056.2,2346.89,5.72257
120382,109697,85997.1,3228.68,5.77166
149472,92687.8,81154.1,4105.01,5.77366
85197.9,99935.3,87227.1,2484.3,5.77466
155961,140404,95917.8,4359.81,5.77566
103651,77746.9,83778.2,2278.64,5.78067
70282.2,82492,91251.6,2212.21,5.80571
96013.3,108983,83942.4,2361.45,5.80672
157706,100755,81703.4,3737.37,5.83276
139203,185378,108665,4485.39,5.90288
72848.1,90017.6,90406.7,2337.79,5.93994
145145,95074.8,83765.7,4372.55,5.96097
152787,157053,92044.2,4389.84,6.00204
99181.3,68768,77648.2,2341.43,6.00505
145919,99655.6,88603.2,2395.12,6.00805
115205,89430,91349.4,2408.77,6.02308
115077,118326,91111,2473.38,6.05613
79206.9,81581.5,85997.1,2227.68,6.06314
105672,90452.6,82830.1,2449.72,6.09119
149564,116471,87265,4512.69,6.16331
148092,173097,92098.5,4270.63,6.35063
124037,121661,90600.9,2855.58,6.36465
128413,136198,89838.2,4422.6,6.38168
140305,85685.9,78435.5,2478.84,6.41974
56431.5,86593.9,93068.2,1848.21,6.43577
86424.8,106047,96468.4,4345.25,6.53694
121043,106575,88647.3,2457.91,6.53994
96354.8,98823.9,87829.2,2711.8,6.55998
84497.8,94124.5,93238.1,2373.28,6.59303
196942,169130,106090,4909.45,6.59303
119529,81188.1,80575.8,2394.21,6.62308
147822,123236,90384.4,4717.44,6.64011
109447,76079.5,76338.1,2370.55,6.67016
103429,78727.2,81355.2,2389.66,6.73827
94070.7,113151,100347,4490.85,6.78235
111175,91241.9,81127,2518.88,6.84345
146538,190971,116924,4794.79,6.85848
101238,86030.3,85140.4,2634.45,6.86449
138761,93478.8,84870.7,2499.77,6.87751
108560,77385,77382.7,2484.3,6.96265
114620,97382.2,85514.6,2414.23,7.00372
147400,131377,93936.6,4141.41,7.02375
129183,103611,84504.5,2261.35,7.05581
138030,157329,103604,3635.45,7.10188
123509,118139,90686.4,4833.01,7.1129
100469,81721.8,81449.6,2317.77,7.17901
149349,104007,86814.3,3973.97,7.18602
154549,128605,90067.7,4499.04,7.20706
93685.9,106466,93351.1,3239.6,7.22509
64474.4,103342,91647.4,2297.75,7.22509
119549,125425,92256.6,3364.27,7.22709
130805,94409.2,82038.8,2482.48,7.23511
110781,102921,91240.2,2564.38,7.34128
99594.5,73034.2,80945.2,2324.14,7.4124
87993.8,139999,96800.5,2325.96,7.45648
91016.3,101396,89312.2,2329.6,7.4695
102122,78250.7,78848.7,2352.35,7.5296
148509,156130,94341.7,4550.91,7.5326
116816,73601.9,79595.6,2480.66,7.70289
140538,97032,78426.9,2305.94,7.7079
155440,138827,91436.8,3571.75,7.71491
142249,124374,90502.9,4652.83,7.74897
103709,86280.2,84084.9,2336.88,7.77
140520,118080,89721.6,3687.32,7.79204
151915,162175,96070.4,4651.01,7.81908
119338,105159,89016.6,4396.21,8.03244
148255,138866,85990.8,2371.46,8.04646
135288,172922,99257.5,4517.24,8.05648
94361.1,69822.9,79396.1,2340.52,8.07852
110974,79223.5,80045.5,2303.21,8.15064
113848,104255,83863.4,2467.92,8.15364
91545.3,111513,94490.9,3492.58,8.21875
104173,101531,85689.9,2294.11,8.36199
51362.1,92691.9,97515.9,2301.39,8.44613
141872,140443,100102,4317.95,8.44713
178704,114531,84019.7,4692.87,8.49221
120226,64805.6,79180.8,2293.2,8.53728
134536,87692.8,79149.4,2393.3,8.54229
93699.4,90060,88835.9,2342.34,8.5443
147810,76091.1,79539.1,3439.8,8.56733
178157,161137,95853.5,4532.71,8.56934
100659,143401,92583.9,2904.72,8.57134
132343,128981,99034.7,4508.14,8.64446
98545.2,98456.3,88625,2347.8,8.67351
137577,157441,94929.3,2338.7,8.68253
