"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
142112,78035.2,81458.3,2259.9,0.0242729
57901,99441.7,95248.7,1872.09,0.0262956
159888,93510.5,86034.2,2085.99,0.0262956
127282,92999.8,82188.2,2153.88,0.0495571
183011,112156,90784.2,3243.84,0.104171
185094,108439,87182.2,3034.59,0.11833
127893,101447,90810.5,2077.62,0.120353
132274,107018,91738.6,3250.35,0.121364
83481.1,72311.4,83750.1,1924.17,0.122376
121546,109769,94061.2,2201.31,0.123387
131121,97198.9,84964.3,2105.52,0.126421
230679,148982,87697.8,4317.99,0.145637
103321,149366,107300,3854.85,0.151705
136625,115256,92240.5,3818.58,0.151705
120670,72527.3,81287.9,1944.63,0.157774
78053,138716,91811.4,1916.73,0.162831
123360,65035.3,76722.3,1943.7,0.163842
157860,140176,90797.9,3321.03,0.208342
197894,130728,87111.8,3854.85,0.216433
154161,185532,109018,4116.18,0.218456
166917,93174.5,81369.4,2540.76,0.219467
135234,132352,93660.7,2354.76,0.219467
162489,112050,85987.3,3465.18,0.22149
163126,151505,97281.4,3725.58,0.22149
81045.4,146535,109256,3567.48,0.229581
102905,105234,94005.8,2059.02,0.230592
186502,96998.2,81136.4,3547.02,0.263968
133155,109571,87674.1,2522.16,0.267002
107762,98766.4,90073.2,2702.58,0.271047
189292,140702,90939.8,3466.11,0.272059
80964.7,119040,107969,3352.65,0.274081
146460,133272,97207.6,3954.36,0.280149
107210,88535.2,86511.5,2150.16,0.282172
91096.6,124460,94781.7,2036.7,0.306445
85551.8,98262.4,95992,1931.61,0.309479
166787,145228,90599.3,4117.11,0.314536
104935,93444.1,85108.1,1957.65,0.351957
130231,106728,86433.2,2054.37,0.352968
177988,106452,85487.5,2418,0.366116
97603.9,87533.9,84623.4,2231.07,0.36915
116243,133158,98828.1,1991.13,0.372184
130275,134119,94147.3,1975.32,0.373196
82402.6,66481.8,78833.2,1907.43,0.375218
98822.2,139102,94860.7,3129.45,0.379264
119677,83717.8,84918.9,1977.18,0.396457
164098,151087,92391.3,2441.25,0.404548
129110,143244,103808,2762.1,0.404548
112519,77495,79954.6,1993.92,0.407582
171896,134238,94974.7,4027.83,0.408593
147203,213013,106669,3866.94,0.408593
176451,130960,86213.2,3643.74,0.409605
109381,97442.5,81972.6,1958.58,0.409605
143419,156483,107117,2765.82,0.412639
81491,81256.6,89630.7,1954.86,0.430844
147459,110001,100213,3690.24,0.437923
79643.5,69562.1,87223.4,1968.81,0.459162
166564,114327,89896.4,3869.73,0.501639
80293.7,120086,108180,2397.54,0.503662
145271,182572,107979,2945.31,0.503662
89310.2,79505.2,97557.5,1904.64,0.50973
139872,154177,92845,1775.37,0.540072
87079.7,112880,97158,1924.17,0.542094
143789,156724,113028,2131.56,0.543106
177608,143610,90625.2,2790.93,0.544117
202200,123402,81301.1,2041.35,0.544117
138518,121214,96186.6,3428.91,0.547151
78292.1,132413,109689,1959.51,0.551197
108854,67169.8,79089.4,2046,0.558276
159695,89104.7,80939.8,2338.02,0.56131
138241,85831.2,84719.5,1995.78,0.569401
170537,148608,100949,3589.8,0.601765
102316,74618.9,81299.1,2054.37,0.605811
195822,133715,90809.5,2089.71,0.607833
160357,166191,95211.5,2285.01,0.61289
130643,95908.7,88762.8,3844.62,0.614913
145621,116608,95902.9,3442.86,0.616936
86914.8,124391,90122.8,2006.01,0.620981
122105,86808.1,87957,2875.56,0.620981
146259,112101,94095.2,3257.79,0.623004
148746,115371,89720.6,2107.38,0.624015
167505,102996,87202.8,1968.81,0.624015
171478,140879,93097.3,3839.97,0.624015
125262,178014,114734,4120.83,0.628061
145821,135138,92252.9,3823.23,0.678629
143455,147192,101022,3195.48,0.679641
141245,141104,95662.4,4058.52,0.681663
61322.4,75839.4,93353.1,1831.17,0.68672
138238,116138,95633.1,1979.97,0.68672
160860,144666,102672,3376.83,0.68672
164097,152271,104753,3746.97,0.691777
191097,184955,103959,2558.43,0.703913
187182,129100,88309.5,3769.29,0.710993
223242,149171,88967.7,3744.18,0.713016
130286,132801,90050.7,2402.19,0.752459
183921,162421,96235.4,4091.07,0.759539
151156,142678,101204,3883.68,0.768641
110858,80607.2,82321.9,2036.7,0.768641
125045,118428,90800,4131.06,0.768641
101095,126549,109168,3818.58,0.769652
121614,72468.5,78285.9,1953,0.770664
133279,118155,92491.9,3960.87,0.771675
166914,91756.6,82257.6,3743.25,0.79696
193576,150542,92992.4,3706.05,0.802016
171940,120535,85568,2343.6,0.802016
118801,96261.5,95249.9,2539.83,0.80505
129265,137259,105227,3911.58,0.807073
97328.2,98710.1,97937.5,1948.35,0.820221
58737.6,66606.1,87601.6,2507.28,0.822244
180281,132715,93330,4235.22,0.823255
94381.9,157413,110460,4055.73,0.826289
148874,138964,85496.9,4097.58,0.828312
126748,107759,85236.7,2077.62,0.831346
185733,206871,111904,4038.99,0.831346
118737,156937,109755,4060.38,0.833369
148299,95093,87715.6,2511,0.833369
160148,128817,93825.3,3246.63,0.83438
101566,124895,93800.1,3062.49,0.835392
190945,139327,86345.1,2763.96,0.836403
156259,159497,107384,4140.36,0.838426
131695,137052,111055,3323.82,0.839437
140086,129205,104649,3650.25,0.839437
89937.4,137371,110638,3294.06,0.843483
94457.5,100533,90867.4,3047.61,0.858653
134143,86678.8,83656,1987.41,0.894051
85054.3,91637.3,94024.6,2026.47,0.895062
131331,103540,96837.6,3337.77,0.900119
104018,80146.1,85177.2,1983.69,0.913267
145115,103996,95797.2,3826.02,0.913267
151544,120709,86355.6,2558.43,0.925403
124054,96563,90246.5,2112.03,0.935517
113755,64123.9,78358.1,2011.59,0.946642
166243,130905,91855.9,2769.54,0.958779
164282,144800,93544.4,4158.96,0.960801
137511,108594,89656.5,2035.77,0.968892
166670,152808,86214.4,3974.82,0.976983
202344,161409,90222.7,3921.81,1.00834
112953,77466.5,83374.6,3496.8,1.01339
154966,123819,88765,2853.24,1.01744
133167,97044.4,86199.7,2216.19,1.0225
171349,120031,86924.8,1931.61,1.0225
55168.6,96322.8,100969,1965.09,1.03564
143518,125345,91894.1,3328.47,1.03969
113796,90421,87495.8,2606.79,1.0407
141927,122181,89286.6,3631.65,1.04475
218976,135816,85908.1,2834.64,1.04778
160379,132459,99450.3,4234.29,1.04778
139766,155108,93118,1908.36,1.0498
127005,109664,95366.5,3571.2,1.0498
192932,125828,85976.4,3408.45,1.0498
163445,160931,99617.9,3977.61,1.05385
132364,137384,93440.7,2285.94,1.05486
165374,106131,86312.1,3529.35,1.05587
153091,104383,93073.1,3747.9,1.05587
187572,154860,93191.2,4000.86,1.05688
134129,152158,83563.3,1982.76,1.05688
110026,141146,92772.4,2327.79,1.08722
120784,83220.5,81655.5,1966.02,1.09127
130441,77859.6,75313,2162.25,1.09734
100270,104064,95272,3507.03,1.10543
96066.7,101123,89532.9,1912.08,1.1479
196392,134088,86956.5,3353.58,1.14892
101510,114124,100279,2033.91,1.16105
129042,115678,86703.3,2420.79,1.16712
140314,111583,91108.2,3128.52,1.16914
147010,103118,83086,1963.23,1.17117
135806,152856,99047.3,2143.65,1.17319
153358,121212,86729.7,3677.22,1.20151
91918.1,91555,92354,1941.84,1.2187
134334,124530,97964.2,3887.4,1.21971
181808,141686,93277.1,2776.05,1.22477
116814,71576.4,79027.4,1863.72,1.24095
98457.8,137801,97716.3,2602.14,1.24196
132608,146122,92160.1,2032.98,1.24196
205099,202162,113979,4258.47,1.24399
180067,185779,92982.6,2453.34,1.24601
114328,81219.6,84644.9,2016.24,1.24601
192902,175399,101937,1971.6,1.24702
143307,196087,112351,4146.87,1.25511
157403,118956,95796.1,3739.53,1.32085
166241,186934,108685,4323.57,1.33197
102731,131495,98194.8,2105.52,1.33501
119769,117940,94602.8,2857.89,1.33602
86153,89075.3,83471.1,1991.13,1.33703
127135,133010,103729,3873.45,1.33905
138470,110704,88883.6,3127.59,1.33905
150857,173147,112927,4214.76,1.36434
133021,89188.7,90406.8,3517.26,1.36636
189626,125231,85618.8,4308.69,1.36838
171235,109203,87221.5,3712.56,1.36838
109284,104308,82814.4,2016.24,1.37344
142608,139236,94035.9,4058.52,1.37344
122563,77481.6,82320.1,2131.56,1.37344
147871,104248,88363.6,2746.29,1.37546
135909,139980,105147,4070.61,1.38153
113379,113558,92822.4,2657.94,1.38457
160721,152193,102031,4071.54,1.39872
86077.4,57902,83566.4,1868.37,1.44727
100301,71777.2,83036,1959.51,1.4766
132510,137167,99944.1,3805.56,1.48773
115699,93333.2,80671.7,2067.39,1.51402
135423,104419,88018.6,2028.33,1.53223
118279,119122,94783.9,2079.48,1.53526
112460,110328,88356.3,1977.18,1.53627
224526,142559,84727.6,2235.72,1.55144
142909,103180,87671.1,2487.75,1.57673
155848,147170,93847.7,3734.88,1.57976
151398,200043,116210,3950.64,1.58482
103846,144671,103214,1927.89,1.58684
147401,132215,87406.3,2079.48,1.58886
153023,126589,99339.3,4105.02,1.59088
82877,119408,101364,3592.59,1.59594
163983,120679,90535.2,3122.01,1.60909
113113,81233.9,79577.6,2015.31,1.61111
174781,102490,86911.6,3152.7,1.62831
148295,128324,90436.4,3063.42,1.62831
117482,103246,93675,2396.61,1.63033
147648,167667,110789,3611.19,1.63539
125106,122965,87995.6,2375.22,1.63943
144277,164860,93807.4,3460.53,1.64044
89118.7,96200.2,90979,2125.98,1.6455
123307,74574.4,81570.6,2012.52,1.64651
119411,112253,97798.3,2133.42,1.65359
132612,210227,106627,3800.91,1.65359
150051,163207,91998.5,3478.2,1.6637
101709,108012,94432.9,2113.89,1.67685
104595,79259.9,77969,1968.81,1.68697
111172,86658.6,81922.2,2226.42,1.70618
189324,147710,98117.9,4020.39,1.70719
74389,85335.6,93221.7,1926.96,1.7082
118680,114365,86997.8,2106.45,1.70922
132219,100188,90408.2,2776.05,1.71427
163598,131752,93643.8,3935.76,1.72236
177857,140314,99721.8,3729.3,1.78507
145827,115346,88005.7,3727.44,1.79417
117795,93755.8,94708.1,3742.32,1.7972
151555,98678.2,85324.1,2758.38,1.8053
75490.6,93322.3,99568.1,2059.95,1.80631
153996,135195,91070.1,2239.44,1.80934
130054,66955.6,77422.5,2013.45,1.84373
132536,112282,84417.6,3965.52,1.84777
125927,197827,108365,1999.5,1.85485
146339,129808,92940,3634.44,1.85586
154436,107450,86544.4,2199.45,1.8589
182883,142792,91902.7,3917.16,1.8589
186999,137621,93115.8,3636.3,1.86294
92920.3,109697,99030.5,1979.97,1.86497
205669,112988,84501.2,3910.65,1.86699
129128,148257,96682.9,2630.97,1.868
155056,107643,87434,3810.21,1.87002
205476,145283,88013.2,3669.78,1.87306
164895,126778,88358.4,3945.06,1.87913
145002,137779,96415.5,4046.43,1.87913
171166,136208,98213.3,3586.08,1.88014
139542,120380,91590.6,3544.23,1.88722
157005,159973,95418.3,2906.25,1.88823
161114,156849,101066,3763.71,1.89834
155640,173818,92260.6,2552.85,1.92565
157197,114825,85833.6,3262.44,1.94486
147154,117232,88971.1,2176.2,1.94689
148191,71244.6,77255.4,2280.36,1.96105
105919,61170.5,82180.9,2823.48,1.98734
153926,116897,88434.1,3025.29,1.98835
74481.1,77387.5,91345.2,1899.99,1.99038
104882,114186,96902.7,2032.05,1.99948
111659,107716,87615.4,2634.69,2.02982
202602,177369,101833,3641.88,2.03589
197706,171309,95240,4089.21,2.05409
204273,186413,96332.2,4048.29,2.06926
123029,173099,109397,3969.24,2.07331
190507,147134,89821.4,3820.44,2.07432
156304,120579,94661,3045.75,2.0814
175524,110169,83604.2,3799.98,2.10466
113100,82088.2,84257.1,2084.13,2.10668
199845,149121,91038.4,4221.27,2.10871
159540,110668,81704.7,2168.76,2.13702
140942,130788,97971.4,4167.33,2.16433
168607,121400,86498.9,2128.77,2.19568
126851,95070.4,81807.4,2148.3,2.19872
180170,130150,87271.5,3919.02,2.20681
114278,108748,97492.7,1983.69,2.20883
119614,163780,110746,4232.43,2.20883
168719,117199,83228.9,3215.94,2.21288
144069,137365,82984.9,2122.26,2.21591
166220,103118,89593,3315.45,2.22501
162042,153271,98181.4,4072.47,2.23917
129113,156299,100383,3492.15,2.24524
125972,79981.4,83651.1,1983.69,2.2685
129588,112356,91175.8,2114.82,2.27457
136305,130257,106759,3703.26,2.27659
177897,149643,97199.4,2825.34,2.27862
105983,92551.2,87971.2,1963.23,2.28165
158529,173471,104422,2270.13,2.28266
116910,113262,91529.3,2170.62,2.28772
193234,153497,93269.7,3857.64,2.28974
197536,111128,85639.5,3958.08,2.30693
144168,140456,100053,3738.6,2.32312
202483,150242,94141.2,3606.54,2.33424
187053,116732,82279.3,3419.61,2.33829
63440.6,109013,104457,3303.36,2.34031
130076,113456,85303.4,3227.1,2.34233
96912,141755,104117,3838.11,2.34739
180577,131973,109347,4223.13,2.34941
171891,195082,105076,3440.07,2.35144
113045,112900,87885.9,2244.09,2.36661
86821.2,89549,83851.5,2021.82,2.37267
136789,128297,96737.1,2792.79,2.38582
155850,177940,105202,3727.44,2.3929
158833,136400,86450.9,2794.65,2.39695
171822,143272,86692.4,2630.97,2.40706
172318,148004,92394.5,4265.91,2.4192
102385,85632.1,83202.2,2402.19,2.42324
164879,161059,90310.8,3207.57,2.47583
94669.2,84669.5,93182.1,3310.8,2.491
147704,136544,97287.7,3943.2,2.5709
103463,89477.6,84064.5,2042.28,2.58708
111831,116799,83830,2129.7,2.5881
106811,92678,85285.1,2062.74,2.61136
179127,173001,93828.9,3662.34,2.62147
192920,174340,92173.6,3418.68,2.65788
90334.8,94626,86005.3,2097.15,2.66496
110673,127026,93767.9,2735.13,2.68215
134670,79283.4,79854.9,2069.25,2.68215
227538,172512,91937.1,4399.83,2.70238
159918,155093,94981.4,3829.74,2.70339
117378,92220.2,84997.5,2106.45,2.70541
153506,180704,102242,3686.52,2.70541
113707,103926,93007.8,2064.6,2.70541
146081,137254,91998.9,2923.92,2.71553
133353,92574.7,87303.4,2102.73,2.71654
79783.2,105042,95389,2117.61,2.7216
173076,208569,115099,4263.12,2.72362
138680,83153.3,77475.3,2047.86,2.7307
71768.9,88326,93449.3,2064.6,2.8288
