"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
192944,146768,92825.7,4332.87,0.0270551
142964,92807.4,81521.3,2562.15,0.0410836
111972,60685.8,76055.7,2091.57,0.0801631
108595,166444,109991,4090.14,0.0971978
165876,100673,87969.6,2118.54,0.0981998
148269,139899,97869.3,3975.75,0.101206
137624,73337.9,80705.8,2117.61,0.101206
161118,123233,87109.7,2448.69,0.102208
158330,160348,112151,4050.15,0.104212
134295,86808.1,79989,2382.66,0.131267
175125,128649,88901.1,2643.99,0.174355
118542,89791,82615.5,2106.45,0.244498
142905,151126,108480,4260.33,0.25051
122445,100700,93544.6,2038.56,0.25552
121022,76282.1,79224.5,2106.45,0.266542
166740,97344.2,82939.7,2107.38,0.325663
107094,69799,81952.5,2110.17,0.392799
160389,74282.9,83082.2,2208.75,0.403822
175906,88588.9,80007.8,3108.99,0.408832
130449,89746.4,83806.5,2070.18,0.409834
190162,218056,102755,3600.03,0.410836
82361.5,79537.1,88366.1,1997.64,0.51605
130212,98546.3,96463.5,3691.17,0.533085
36501.1,75224.5,88116,1992.06,0.569158
225152,155634,94777.4,3848.34,0.57016
124989,95797,92011.8,2834.64,0.606234
79519,105054,101384,3304.29,0.680385
175533,158559,103218,4171.98,0.689403
109889,115101,89223.9,2076.69,0.701427
113062,108526,94489.1,3084.81,0.716458
127602,90198.4,84137.4,2186.43,0.730486
107871,106080,91043.4,2128.77,0.751529
191514,149528,96171,4181.28,0.752531
110208,113316,103725,2602.14,0.753533
118155,126008,93650.8,2664.45,0.778584
125478,139670,101167,2021.82,0.809648
101399,101643,89432.6,2208.75,0.883798
166739,110448,86499.2,3233.61,0.899831
153379,81727,80539.8,2190.15,0.901835
152340,130964,93928.3,3557.25,0.922878
132688,154046,97926.7,2727.69,0.940915
133493,138566,99893.2,2336.16,0.956947
180050,135834,91400.1,4025.97,0.994023
163305,77791.6,79225.3,2148.3,1.02008
121221,82399,85703.6,2105.52,1.02809
134842,124332,98183,4038.99,1.03611
114324,83879,83026.4,2054.37,1.04112
122260,93232.4,90757.7,2194.8,1.09623
132013,71323.6,79624.2,2032.98,1.14433
124463,83215.4,86029.9,1966.95,1.18842
144141,80780.3,84101.4,2418,1.20044
153245,127166,96087.4,3986.91,1.20545
124417,86420,86092.9,2069.25,1.21347
149702,110727,88429.5,2402.19,1.24854
130806,103224,89410.7,2109.24,1.33672
118920,82976.9,86506.5,2092.5,1.33973
111275,105383,88788.1,2201.31,1.34373
135875,89885,84388,2153.88,1.3768
150250,84722.4,84295.4,3677.22,1.40887
145763,80542.6,81758.9,2007.87,1.40887
128848,83105.4,88293.7,2037.63,1.44294
115615,131018,91833.2,2554.71,1.44795
108103,103270,101668,3135.96,1.51107
183853,157429,102457,4396.11,1.61128
205078,162982,102126,4104.09,1.6213
135451,113658,97129.7,3358.23,1.64334
127055,89607,87652.9,2132.49,1.66138
143531,133655,91188.6,3764.64,1.68543
130734,104116,90613.4,2239.44,1.68844
116876,64570.8,80708.6,2016.24,1.68844
175259,120897,89182,4175.7,1.69345
129203,114238,92928.9,3321.03,1.69946
128052,155846,99290.6,3676.29,1.71549
165928,117355,97319.4,3625.14,1.72551
140640,120646,95464.4,2871.84,1.73152
170990,138020,94176.8,3962.73,1.75958
71899.9,93229.9,94573.4,2076.69,1.76659
114539,123113,98498.8,1958.58,1.78062
129580,153176,83130.6,1764.21,1.78163
120815,101991,81312,2281.29,1.78563
132520,92258,86037.8,2150.16,1.80968
109749,115406,101903,3854.85,1.85377
196523,129002,92444,3849.27,1.85477
167612,115607,90592.1,3894.84,1.8668
245418,153937,95187.9,3935.76,1.88584
110699,90644.4,89300.9,2059.02,1.91189
129385,152227,102637,2895.09,1.97201
194039,160691,95328.7,4057.59,1.97802
92009.5,113585,94403.4,2080.41,2.06821
135063,88550.3,91418.3,2022.75,2.15238
153661,111670,92417.8,3456.81,2.18445
91436.4,94465.6,95773.5,2670.03,2.18845
163144,103785,85396,2181.78,2.31571
85330.8,165509,111545,2119.47,2.37183
116616,88866.1,85976,1939.98,2.39588
125239,81909.2,83218.4,2061.81,2.40089
116384,70910.3,80656.3,2247.81,2.41592
120010,81914.3,79700.9,2229.21,2.41592
151001,96877.2,83621.3,2128.77,2.53315
104386,74497.1,85012,2073.9,2.57624
102586,88916.5,91947,1998.57,2.60831
142478,75180.8,78531.3,2092.5,2.67444
162227,73471.4,78675.6,2101.8,2.68847
92936.2,73803.2,82314,1945.56,2.69749
147537,78941.5,80574.3,2089.71,2.77565
135078,90330.2,84670.1,2054.37,2.8027
179577,104304,91084.4,2376.15,2.84078
163673,160432,98052.8,2232.93,2.92195
152211,108908,85897.3,2519.37,2.98407
163583,172851,109013,4240.8,3.00111
136240,74034.2,80977.1,2245.02,3.01914
118019,104032,94183.7,1915.8,3.09229
225467,207568,107252,4111.53,3.2436
72283.7,80611.4,94054.6,2061.81,3.37687
124908,116590,90521.9,2156.67,3.42998
104803,69435.2,80403.4,2028.33,3.48609
