"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
138454,140145,83939,1847.3,0.218375
164813,110150,87311.2,3355.17,0.251432
95817.3,63115.7,76250.3,2270.45,0.274471
90576.1,92982.4,87467.6,2207.66,0.280482
162833,127681,87941.9,2436.98,0.296509
113141,73832.6,82359.4,1944.67,0.302519
102628,97194.7,90961.3,2192.19,0.318547
150470,99452.3,85755.9,2199.47,0.318547
154637,176675,100948,2427.88,0.354609
87849.7,112023,93918.5,2281.37,0.356612
134785,139859,96370.6,2741.83,0.369635
78671.5,151941,109881,2302.3,0.382657
110569,179780,114627,2546.18,0.391672
105246,87632.2,84751,2212.21,0.408702
167312,141054,90090,2562.56,0.438753
143039,154051,100061,2790.06,0.439755
137188,158163,100030,2286.83,0.467803
114267,121314,91541.4,2509.78,0.472812
145547,120313,88135.9,2237.69,0.50086
172247,95484.9,82753,2344.16,0.519893
121314,81693.6,86493.6,3083.99,0.549944
107446,98496.1,83908,2226.77,0.601032
120308,90743.1,83616,2446.08,0.633087
152952,104396,86728.7,2438.8,0.643104
152389,148903,98171,3916.64,0.65212
102205,80554,85559.4,2214.94,0.692188
112401,122102,106119,3157.7,0.6992
113006,99997.6,90492.1,2282.28,0.75129
122289,75193,79278.1,2122.12,0.75129
78773.8,69585.5,91214.5,2186.73,0.799372
115337,126119,95457.7,2230.41,0.801376
136167,116019,90483.6,4367.09,0.804381
84399.1,133071,108520,2307.76,0.812395
123056,152144,108688,4464.46,0.817403
138680,108056,87003.5,2341.43,0.822412
91789.5,116403,89782.6,2260.44,0.848457
139303,116489,90412,2331.42,0.893534
51900.3,87251.3,98557.3,2351.44,0.90255
140503,157936,100879,2517.06,0.909562
119384,80597.1,81748.5,2313.22,0.921582
114930,147214,98139.5,2222.22,0.948629
134725,110115,84758.6,2507.05,0.954639
123683,95414.3,86481.9,2261.35,0.986694
147467,130441,94623.7,2319.59,1.01074
110591,112614,90959.1,2307.76,1.02376
118520,130971,95566.4,2597.14,1.02376
132738,142033,93609.7,2423.33,1.02376
144198,194520,114831,2539.81,1.05481
121962,112073,92665.2,2269.54,1.07184
121814,189231,107402,3924.83,1.08486
185998,151357,95921.5,4509.05,1.11391
103356,97020.4,91551.3,2357.81,1.13595
167572,160854,101379,4187.82,1.16099
149206,122884,92574.4,3004.82,1.16099
73370.7,98931,99198.9,2184.91,1.165
123884,104694,89272.4,2348.71,1.17201
69249.9,49262.2,73012,2204.93,1.17902
95420.4,107731,89223.3,2289.56,1.18904
68982.9,57114,83428.5,2210.39,1.19806
117256,112277,93047.7,2253.16,1.20006
158740,146892,96588.6,2396.94,1.20908
148225,117399,87826.7,2656.29,1.21609
90112.5,87879.6,95516.7,3470.74,1.21809
104002,94745.3,88502.3,2365.09,1.2231
79810.4,79148,82152.7,2213.12,1.26417
69415.3,128922,107964,2235.87,1.29923
104551,83854.9,87498.4,2095.73,1.30624
102802,89906.4,86316.1,2285.92,1.32227
95291.9,85232.7,86827.9,2213.12,1.32427
137437,119974,91788.7,2436.07,1.37937
145309,145469,97543,2348.71,1.38037
84764.1,87106,84170,2333.24,1.43847
113489,92633,88301.2,2214.94,1.47153
156256,137465,92219.1,3846.57,1.47153
101870,88895.5,88011.8,2358.72,1.47553
178198,154180,105771,4428.97,1.47553
135782,127313,86042.9,2381.47,1.47553
119049,192646,115438,4393.48,1.48755
120995,100315,83314.6,2406.95,1.49256
138571,112383,89977.7,2295.02,1.5136
105752,68919.9,81977.8,2292.29,1.56769
83324.2,107843,95417.6,2298.66,1.5747
103153,159399,107580,2309.58,1.60375
127029,101693,88019.5,2247.7,1.60476
193275,166375,95357.5,2424.24,1.66185
83666.4,82937.8,94617.7,2343.25,1.67488
92062.1,82032.2,91330.2,2312.31,1.67888
138932,130520,100903,2623.53,1.67988
87295.9,130689,99211.8,2186.73,1.69391
114626,69983.9,79677.4,2232.23,1.71795
103650,117764,88027,2295.93,1.74199
122324,130013,92552,2459.73,1.745
101903,78097.2,83378.3,2253.16,1.75702
142235,170022,107424,4464.46,1.87121
92573.3,87729.3,86852,2343.25,1.91328
127373,100682,84064.6,2416.96,1.91429
158236,179932,110951,3514.42,1.91729
113279,94922.9,83752.3,2107.56,1.92831
116081,89475.7,90925.5,2217.67,1.94033
105413,125512,94357.7,2420.6,1.98541
183133,124485,92144.1,2477.93,1.98841
147248,95384.4,80468.5,3734.64,2.00945
141715,177813,102378,2653.56,2.0385
68588.8,87140,91617.8,2257.71,2.05653
110022,165056,108325,2696.33,2.05753
99292.1,66626.6,79271.6,2340.52,2.08959
118363,166584,99779.5,2446.99,2.12765
119134,134521,95383.8,2366,2.15971
101044,102644,92344.2,2824.64,2.18275
150475,183527,111192,4527.25,2.18475
113179,74108.2,78793.6,2483.39,2.2118
99996.4,99849,88016.9,2299.57,2.24886
84078.2,71180.8,87070.8,2129.4,2.25788
174651,181541,108149,4528.16,2.28592
171518,133188,89189.7,4315.22,2.30997
133896,119396,97156.1,3069.43,2.33801
114031,95474.1,88538.1,2210.39,2.35204
130449,112324,87026.9,2481.57,2.35504
159967,103432,88202.4,2370.55,2.37608
105359,76992.5,83233.5,1852.76,2.3861
173442,173263,98104.3,2508.87,2.3861
101819,90831.9,86399.6,2344.16,2.42617
156348,197767,107005,3024.84,2.42617
153763,148727,94288.3,2897.44,2.43218
149867,134744,88172.6,2777.32,2.46223
124922,151922,113083,2524.34,2.47525
117822,77229,79809.5,2429.7,2.49829
118962,136098,99389.9,4220.58,2.5033
122084,106277,89525.9,2900.17,2.55338
80722.7,84523,88265.9,2350.53,2.55639
103429,115633,92273.3,2909.27,2.59345
134229,128781,96866.7,3144.96,2.59445
159487,222174,114818,3439.8,2.60447
125475,96333.1,88374.4,2761.85,2.60848
116067,121704,95884.7,2403.31,2.61449
109353,76190.7,82644.8,2366.91,2.61649
119866,94295.5,87642.3,2381.47,2.6225
