"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
139967,86059.7,85871,3137.82,0.000998466
84327.8,93792.7,92168.4,2085.06,0.000998466
181356,164619,115756,4712.31,0.0029954
186854,119993,85917.7,2136.21,0.044931
142684,117764,84247.8,2170.62,0.0479264
67858.6,62023.1,84564.1,3893.91,0.0509218
158373,92971.2,80945.9,1943.7,0.0758834
125597,167912,109329,3852.99,0.102842
106559,79971.4,86626.7,2056.23,0.105837
171261,157119,103503,4145.01,0.105837
163847,132967,97635,4125.48,0.119816
235714,167572,89399.2,4022.25,0.166744
104600,115012,86517.7,4078.98,0.179724
77773.7,129086,94831.1,2085.99,0.186713
155662,128113,90783.7,2347.32,0.18871
139522,100148,79832,2129.7,0.208679
67636.8,77069.2,79645.6,1924.17,0.224655
106723,170300,115454,4137.57,0.228649
163698,157202,93971.5,3670.71,0.23464
167866,165196,99501.8,3942.27,0.239632
184330,152562,99075.8,4274.28,0.272581
166200,137668,94703.2,2248.74,0.285561
103552,72881.8,82331.5,1957.65,0.288557
198315,124029,92013.6,3666.99,0.300538
141462,108657,86164.4,2379.87,0.319509
89554.3,75560.5,82942.8,1932.54,0.3255
122246,113549,98990.7,2236.65,0.343472
106779,78379.6,80310.9,2027.4,0.349463
99012.2,74612.2,84177.4,2156.67,0.370431
165158,93607.9,79269.8,2192.94,0.386406
191807,177815,108702,3069,0.444317
157191,95940.6,85679.1,2055.3,0.445316
101622,99010,90086,2023.68,0.448311
112583,144394,103479,2215.26,0.474271
168452,138122,90923.4,2744.43,0.495239
75833.3,123085,95159.9,1881.39,0.504225
127658,168617,94474.6,3563.76,0.52719
101774,124000,100720,3136.89,0.532182
107703,67320.1,81496.4,1970.67,0.533181
114019,104170,89549.4,2160.39,0.534179
88279.9,68058.5,78304.1,1773.51,0.535178
117148,107706,85733,1905.57,0.580109
145668,162249,94174.2,4014.81,0.584103
146043,178427,98581.9,3999.93,0.596084
146627,189659,113652,3940.41,0.600078
109228,81821,82007.5,2237.58,0.621046
90975.6,92975.4,87520.1,2046.93,0.628035
121109,112139,87866.5,2091.57,0.639018
70557.8,95021.6,97459,2000.43,0.660985
119542,103934,92179.5,2911.83,0.710908
116760,126416,99695.4,3665.13,0.725885
88529,152395,104408,3000.18,0.72888
101777,99189.7,97715.1,2060.88,0.732874
160032,151043,100851,3866.94,0.734871
151967,85372.6,77409.1,2129.7,0.737867
96900.5,71518.4,83419.9,1903.71,0.764825
108107,120781,103131,3220.59,0.778804
100086,97186.3,85431.9,2055.3,0.801768
101694,96035.5,84308.3,1963.23,0.821738
199341,165738,99527.2,4019.46,0.825732
116665,98481.6,89551.8,2143.65,0.830724
82023.1,107765,99175.8,1992.99,0.859679
105735,143207,113064,3317.31,0.866669
104078,134269,101320,3520.05,0.873658
115386,79252.3,78094.1,1986.48,0.905609
103466,90963.6,88233.2,2154.81,0.927575
70059.6,76015,89929.2,2052.51,0.935563
142423,109238,91010.9,2470.08,1.04939
115932,70407.1,76605.9,2125.98,1.05039
114724,102051,96692.1,3439.14,1.05438
55427.8,94100.2,96873.2,2032.05,1.09232
91488.2,86504,83566.2,2130.63,1.3669
107082,95121.6,90635.2,1961.37,1.38088
138497,116325,86139.9,2183.64,1.38487
87958.1,98815.1,89086.2,2043.21,1.38887
138277,173336,90801.5,4316.13,1.39186
90857.5,103912,86020.6,2024.61,1.40484
60634.8,88369.7,92782.6,2027.4,1.47673
109840,99991.9,90485.8,2099.01,1.57957
68938.6,79611.8,96542.4,2083.2,1.59655
235184,170586,92955.3,3706.98,1.60154
89964,108520,85389.4,2232,1.60953
159574,159466,84673.2,1805.13,1.61352
90063.4,84604.8,92423.3,1996.71,1.64348
68733.4,58474.9,77448.2,4091.07,1.66045
202188,148525,93283.9,4219.41,1.66344
98581,90827.5,98542.7,2042.28,1.67642
159916,114882,85415.8,3212.22,1.69739
112128,83471.6,80225.2,1925.1,1.70438
114197,93949.8,87585.6,2948.1,1.71936
171509,85995,77344.3,2042.28,1.73633
124906,137312,89427.4,1771.65,1.74831
126004,163889,104115,3075.51,1.7563
111048,104005,92484.4,2262.69,1.7583
125171,124514,92283.3,1985.55,1.80323
138154,178239,98794.4,4670.46,1.81521
148272,103314,82860.7,2560.29,1.84217
100493,105432,100499,2298.03,1.89209
107109,102494,90341.4,2037.63,1.90707
171550,143417,94095.4,4211.97,1.91007
156976,104893,81014.1,2518.44,1.92904
122000,89367.6,81042.7,2069.25,1.93902
71437.7,115380,106525,2077.62,1.95
154054,146240,93968.8,3565.62,1.954
102555,133639,97040.1,3799.98,1.96498
91432.8,80914.7,91554.3,2195.73,1.98595
86535.4,98495,86245.7,2111.1,2.01191
103862,115971,87290.4,2181.78,2.03687
117569,111208,88830.5,3486.57,2.05185
143510,102061,89272.6,2138.07,2.05384
108512,79730.3,83304.7,2071.11,2.06083
153989,154447,108148,3879.96,2.06483
119066,88629.2,81872,2039.49,2.06483
134729,134811,99587,4355.19,2.06583
122242,107302,94699.7,1998.57,2.07581
103512,74461.8,79384.6,2041.35,2.07681
145519,88478.9,83107.1,2159.46,2.07781
102036,186942,105441,2256.18,2.07781
113078,100240,85592.5,2389.17,2.11775
103402,135992,92627.7,3716.28,2.16268
145515,106576,86058,2087.85,2.17865
189337,214857,99068.2,3573.99,2.18964
153524,130683,96001,3877.17,2.19063
153730,174815,111943,4008.3,2.20461
136293,123262,98871.9,3841.83,2.20661
121541,129482,96776.1,3134.1,2.23057
88477.9,72141.7,84431,2122.26,2.24855
79220.9,66709.4,84583.5,2056.23,2.26053
63452.2,94001.9,85804.5,2108.31,2.33441
94106.9,66109.7,79807,2021.82,2.34739
150274,115361,83461.1,2025.54,2.38234
95786.6,85053.4,85598,2373.36,2.38534
152694,113084,85526,3117.36,2.38633
101884,111287,97320.2,2943.45,2.42228
114545,129045,96793,2389.17,2.43426
94925.5,91820.4,83381.3,2174.34,2.44924
135680,85741.3,80521.9,2205.03,2.47819
166998,175059,90440.8,2176.2,2.48418
138466,111559,93524.8,2126.91,2.48518
151422,107785,86638,2630.04,2.48618
178742,202152,103036,3813,2.48918
147298,169853,109109,4150.59,2.52013
134546,97501.3,101667,2211.54,2.52612
54954.7,79192.7,94742.1,3055.05,2.54409
98570.9,108110,94447.5,2252.46,2.55208
48278.9,88280.6,92062.3,1985.55,2.55507
87573.6,77692.4,87459.9,2011.59,2.56406
203187,127415,85815.1,3927.39,2.58802
108171,110465,103563,2234.79,2.64594
46283,66271,89348.4,2445.9,2.64893
136099,118645,89138.1,2089.71,2.6659
221067,155702,93935.4,2513.79,2.6669
133095,87932,81302.4,2204.1,2.6689
176423,151424,95328,3770.22,2.69586
140005,80120.9,81109.8,2514.72,2.69686
155234,92458.8,79904.3,2123.19,2.69985
96702.5,111044,102306,2086.92,2.69985
119636,77458.1,80209.4,2052.51,2.70984
117965,75047.3,84315.6,1951.14,2.71084
121888,125846,102972,2573.31,2.71982
83441.5,88800.6,89896.6,2328.72,2.72282
110803,92098.4,87780.1,2288.73,2.7308
125817,110411,95153.1,3654.9,2.7308
75548.2,68258.4,84452.8,2046,2.7318
101673,115875,106995,3807.42,2.73779
53925.8,67735.1,83523.1,1867.44,2.74478
215538,153106,91470.5,4189.65,2.76675
122610,74068.7,78868,2060.88,2.78173
93312,81811,80696.6,2293.38,2.81967
147123,161444,105795,3330.33,2.82167
141227,157944,98957.4,3652.11,2.82366
100104,87745.6,85001.1,2162.25,2.82865
251785,180314,97994.3,3951.57,2.90953
115116,72820.4,84158.2,2107.38,2.91053
103437,62366.6,75994,1954.86,2.91852
140372,100324,85474.9,2029.26,2.91952
47232.7,53832.2,78754.2,2130.63,2.93449
188266,207377,100128,3510.75,2.94348
105708,103690,102774,2086.92,2.95147
148766,120759,100438,3267.09,2.9964
148635,86639.3,81250,2116.68,2.9964
175906,123130,93477.3,3810.21,3.03634
90252.7,144771,106160,3696.75,3.05231
124394,101264,93491.7,2073.9,3.08326
162721,106693,88018.7,2610.51,3.09724
141741,138785,85950,2573.31,3.10523
127578,114307,88178.9,2858.82,3.13319
143046,77707.6,76205.2,2010.66,3.14417
95917,108645,84289,2082.27,3.15116
78463.4,102580,94994.7,3043.89,3.16514
125404,145108,106300,3906,3.18511
131073,125619,94985.7,3813,3.20607
162598,139648,100183,4161.75,3.21406
151621,88730,76183.5,3168.51,3.21905
155660,136456,99461.7,3985.98,3.22205
124600,87989.2,86822,1987.41,3.22305
106436,103492,98288,2098.08,3.22704
121392,149847,99168.5,3307.08,3.23803
103036,153661,108305,2979.72,3.24402
126922,85539.7,83415.4,2022.75,3.26498
89654.4,76482,85476.2,1918.59,3.28196
100585,81888.2,83321.1,2010.66,3.28995
59855,87255.8,94181.2,2085.99,3.35385
195422,195699,106717,3749.76,3.43173
67769.3,60348.1,82434.8,2250.6,3.57151
139517,144689,104707,3929.25,3.61245
168525,114298,86983,3835.32,3.61445
62583.8,71746.1,82690.6,2083.2,3.64041
98725,92856.1,86195.7,2151.09,3.66437
95231.5,89423.9,94295.8,2099.94,3.66537
117786,148250,104999,4338.45,3.72228
182047,117445,89129.9,3831.6,3.72628
53919.4,64272.6,86764.8,2537.97,3.73027
116442,76434.1,78665.6,2006.01,3.73227
106753,105294,100049,3447.51,3.73926
188772,168511,99180.2,3189.9,3.74325
180339,177592,94807.5,3718.14,3.75323
137220,96301.8,84193.6,2426.37,3.76821
88882.6,135367,88870.4,2997.39,3.7742
105945,133367,107229,3960.87,3.78019
164403,207652,103633,3715.35,3.78119
112120,65938.3,80489.8,1970.67,3.86207
179101,123100,89555.3,3730.23,3.87205
154070,121408,90671.2,4303.11,3.87205
129029,143212,104246,4195.23,3.88703
73638,66697.7,85615.5,1862.79,3.906
137717,87641.4,80695.5,2107.38,3.91199
105350,79455.6,80456.1,3520.98,3.92198
101441,125025,101909,3122.01,3.95592
97484.4,81124.7,86308.2,2176.2,3.96191
82841,70953.1,90060.1,2138.07,3.99586
160300,148762,94973.2,3931.11,3.99586
95379.1,90164.8,86362.9,4481.67,4.04878
69642,149530,110034,4069.68,4.07674
128098,122566,95505.5,3498.66,4.11468
127377,84121,85034.4,2080.41,4.12466
88041.6,64501.1,77126.4,2027.4,4.1646
137420,88440.2,82891.5,2044.14,4.17858
159399,119165,89712.8,4181.28,4.18158
159273,103275,79869.3,1868.37,4.20354
113551,89037.5,83372.5,2246.88,4.21053
129010,110801,94514.5,2060.88,4.21652
105391,117323,104302,3158.28,4.21652
138576,103107,83868.1,2732.34,4.26345
88310.2,104282,89266.1,2152.02,4.28042
71321.8,97224.1,99097.6,2125.05,4.2954
142041,102229,92981.2,3401.94,4.2994
119103,142430,110697,4379.37,4.30838
91517.8,101893,85626.3,2075.76,4.30838
121865,107061,89257.8,4189.65,4.38626
69796.1,97204,96884.6,4088.28,4.41222
220080,138013,87832.4,4142.22,4.4272
114679,100988,89476,2228.28,4.44617
51025,69408.4,91908.7,2069.25,4.45615
97286.4,96931.8,94016.7,3547.95,4.48012
66597.8,83768.2,84960.8,2031.12,4.50807
152186,145330,88849.9,2166.9,4.51307
86677.2,128657,100530,2279.43,4.56099
107662,83874,86140,1934.4,4.56499
88855.9,123448,107915,3029.01,4.64586
111172,94289.2,93002,3873.45,4.70877
135396,151245,99525.7,2403.12,4.71875
91754.6,95261,94671.7,2590.05,4.72874
75403.4,45367.6,81075.7,1833.96,4.73772
127515,140094,98591.4,4040.85,4.73972
87939.4,127510,105045,2066.46,4.74271
175232,102409,82296.6,2400.33,4.74671
129550,92463.8,84330.1,2181.78,4.78365
153351,89590.2,79257.3,2965.77,4.79863
99277.2,96784,87413.8,1999.5,4.79963
135971,125829,94021.7,2471.01,4.80362
120828,100707,88696.7,2097.15,4.81061
160376,107517,87131.2,3184.32,4.82359
164465,140322,90133.5,2569.59,4.83457
105497,76753.3,86551.4,2084.13,4.84955
106221,72823.8,79496.6,1806.99,4.86952
109979,134950,94010.1,2830.92,4.90447
175597,130948,92399.4,3028.08,4.92943
137796,112399,89143.1,2000.43,4.93442
197351,161025,99417.5,3831.6,4.95539
138435,129535,103546,2228.28,4.98334
110236,90885.5,85715.3,2165.97,5.0123
135346,106615,93376,2520.3,5.01729
127707,103559,90101.1,2375.22,5.04225
140425,86107.6,78574.5,1842.33,5.04325
137074,113602,87596.4,2854.17,5.06122
143984,137861,100075,4238.94,5.06422
140309,126516,93425.6,3661.41,5.06722
128498,94414.3,88036.2,2103.66,5.10017
142204,107796,89719.2,2318.49,5.10116
146359,121760,88935.4,4068.75,5.10216
90851,110525,101647,3540.51,5.11115
75908.2,102304,98088.8,3521.91,5.11614
80753.8,150709,101966,2150.16,5.18503
147802,99613.1,93000.2,2484.96,5.18903
130710,121545,80658.6,3276.39,5.207
137804,120726,98602.6,3491.22,5.21898
92543,91308,82682.2,2095.29,5.2759
114258,86793,88184.3,2151.09,5.28688
126752,72806.2,82766.8,2134.35,5.30086
178957,117109,85875.7,4231.5,5.32083
120254,84693,81442.1,2068.32,5.32981
109583,88870.3,88016.2,2292.45,5.35777
142226,113905,90120.6,2427.3,5.37175
92723,79401,88442.9,2133.42,5.44064
