"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
92411.3,104258,96906.3,2136.21,0.181071
80176.3,61293.1,78369.5,1993.92,0.193559
88023.6,70056,87374.7,2062.74,0.231022
100320,68689.3,79557.9,2071.11,0.238306
93367.4,68430.6,90716.6,2344.53,0.261201
75304.1,81718.6,84374.6,1779.09,0.266404
139445,85024.8,82700.4,2843.01,0.271607
147565,78972.6,79048.6,3041.1,0.287217
79377.8,98139.7,93084.7,1911.15,0.301786
100542,97004.9,83256.7,2306.4,0.303867
60413,75647,96957,1886.04,0.304907
80504.6,70369.3,91283.3,2179.92,0.310111
58193.3,69414.2,88744.5,1956.72,0.311151
174021,109203,83766.8,3867.87,0.316354
147594,112428,86806,3587.01,0.316354
94094.6,68342.4,83399.5,1923.24,0.319476
220077,133122,90616.7,3933.9,0.319476
80888.4,58651.3,86992.7,1941.84,0.322598
129187,95718,84350.5,4065.96,0.323639
106839,80504.8,82323.7,2030.19,0.333005
97223,62873.2,78985.9,1905.57,0.356939
109732,71304.2,82073.1,2674.68,0.365265
67661.3,78807.1,93636.4,2070.18,0.365265
164775,105423,81407.5,2335.23,0.371508
70309.4,76228.3,81764,2075.76,0.375671
103734,53159.4,79605.5,2001.36,0.375671
99615.6,70701.1,83047.5,1894.41,0.376712
180014,134780,107094,4857.39,0.376712
124561,130155,103905,3772.08,0.379833
85425.8,80345.2,89884.1,1885.11,0.386077
126240,120117,99317,2808.6,0.389199
99898.6,73981.3,83848.2,2062.74,0.391281
108991,123112,107596,3169.44,0.391281
93847,112198,91127.7,2549.13,0.392321
124484,112149,86034.2,2083.2,0.392321
102174,81119.6,90418.7,2656.08,0.393362
135764,88179.8,86351,2072.97,0.394402
143174,76315.7,84758.4,2656.08,0.396484
188359,183594,102661,3817.65,0.399606
112539,97550.9,90085.4,2169.69,0.407931
96320.9,82706.4,86800.3,1906.5,0.412093
75944.2,98698.3,92040,2218.05,0.413134
97816.3,49996.8,75047.9,1787.46,0.42354
92039,82331.8,87177.8,1891.62,0.426662
88817.8,98110.3,91874.7,3421.47,0.426662
102322,125441,107485,2254.32,0.427703
122023,71967.8,83244.8,2067.39,0.427703
152390,128812,94418.3,3796.26,0.430825
189996,138545,94504.9,4267.77,0.431865
139798,131090,102694,3659.55,0.433947
158157,158839,100543,2376.15,0.434987
100715,61059.6,79477.3,1781.88,0.434987
87358.3,87822.8,97258.4,1981.83,0.437069
96333.8,83943.7,89561.8,1823.73,0.437069
179132,124806,89226.9,3424.26,0.440191
53992.8,75873,87102.4,1970.67,0.449556
119817,101034,87073.1,2725.83,0.474532
167702,155390,90639.6,3685.59,0.477654
106811,92987.2,79502.3,2477.52,0.496385
79088.4,79952,94448.8,2338.95,0.498466
82661,77349.7,93517.2,1959.51,0.533848
76250.9,54659.6,81775.5,2031.12,0.535929
100986,71644.4,82807.9,1935.33,0.538011
125131,72207.2,80281.2,1891.62,0.546336
90931.7,75810,91099.3,1953,0.547376
113240,61876.9,78819.1,1949.28,0.555702
130128,117240,84917.5,2510.07,0.556742
109818,134481,105781,4043.64,0.559864
121740,95739.8,93629.7,1970.67,0.560905
59062.3,74964.1,95491.5,1937.19,0.566108
96012.7,72524.8,81522.1,2197.59,0.567149
121541,147921,107208,3560.97,0.568189
77531,71151.4,90730,1860,0.570271
65543.8,79931,90474.1,2066.46,0.570271
181683,160743,93819,4119.9,0.570271
141602,98439.6,85845,3507.03,0.572352
73357.2,73996.4,90208.5,1813.5,0.575474
149219,104303,91944.2,3714.42,0.577555
59076,118547,107058,1988.34,0.578596
80367.1,93306.4,91035.2,1882.32,0.578596
95652,73030.4,82945.5,2028.33,0.581718
80496,64921.9,89991.8,1874.88,0.594205
104580,84987,91351.6,1968.81,0.595246
105354,54850.3,77632,1895.34,0.609815
91008.7,80153.6,78037.7,2369.64,0.609815
129511,73856.2,92689.3,3200.13,0.610856
118204,82468.7,84921.6,2065.53,0.611896
95293.4,68509.6,82818.5,1811.64,0.612937
129905,80295.6,85032.8,2147.37,0.61814
153271,150200,88368.7,3262.44,0.627506
100851,146629,104907,2821.62,0.629587
94147.9,88177.3,87223.1,2002.29,0.631668
84719.5,145485,108430,2716.53,0.63479
69259.7,68300.4,86280.3,2255.25,0.645197
114007,66919.4,86734.3,2118.54,0.645197
105934,96364.8,90024,2325.93,0.653522
203677,150058,108445,3413.1,0.654562
160081,122433,91498,3866.01,0.654562
127247,132513,94059.7,3941.34,0.655603
114340,73632.7,81148.8,1985.55,0.659766
181101,204601,109426,4435.17,0.659766
129424,128737,91567,4260.33,0.662888
128072,97419,87033.8,2050.65,0.662888
109650,85934.5,86180.4,2149.23,0.666009
105408,83857.2,98651.3,3097.83,0.66705
151284,204222,115180,3582.36,0.668091
157032,160235,109499,3824.16,0.669131
146061,100725,84021.2,2624.46,0.669131
109570,74490.4,77517.2,2056.23,0.670172
151012,119881,104966,3715.35,0.670172
173955,138881,88894.5,3664.2,0.673294
110010,104042,98875.7,3507.03,0.674335
99478.8,92813.3,90074.1,1891.62,0.676416
