"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
144451,115398,92185.2,3627,0.331208
169475,207291,119754,3932.04,0.707445
186260,231096,113900,4101.3,0.88956
215343,213970,107529,3936.69,1.36586
183958,156609,98891.1,3844.62,1.48493
59560.6,83145.7,81509,2230.14,1.62102
100252,157865,105790,4055.73,1.68006
194239,173279,100710,3999,2.19738
205291,162085,96573.3,3942.27,3.55624
172438,182941,101289,3814.86,4.07456
114916,132877,97368.3,2171.55,4.10258
160237,161556,101128,3649.32,4.773
213244,218457,113688,4104.09,4.96012
156714,152446,108139,3906.93,5.2393
180243,189041,101896,4059.45,5.46744
87460.6,123605,97728.1,3574.92,5.69158
201198,212428,108541,3672.57,5.69858
75278.2,103475,92238.4,1966.95,6.02879
88951,118825,96742.6,3801.84,6.18589
172030,128007,91448.8,3702.33,6.86031
72694.1,86569.6,90439,3313.59,7.08646
207809,171947,98979.6,3888.33,7.13649
133669,137001,98176.4,2333.37,7.43267
163398,170794,88281.7,2786.28,7.50672
180549,183170,99235.3,3745.11,7.76388
215602,187712,107275,3978.54,7.88396
184478,184942,106375,3662.34,8.4193
211943,175336,97720.9,3906.93,8.67145
203004,151971,95405.6,3931.11,8.68046
89385.8,105233,85458.9,3906.93,9.44094
220126,220855,103613,3772.08,9.545
241167,202081,100788,4014.81,9.57102
203322,194932,107111,3943.2,9.67208
204661,189169,103248,3613.98,10.0843
237943,191249,99545.5,4023.18,10.1044
90474.5,165510,108973,3836.25,10.1504
211712,208354,104470,3938.55,10.1604
201138,201972,104555,3901.35,10.4726
215018,134455,94097.6,3720.93,10.8578
82722.2,132603,99955,3734.88,11.13
61560.7,105281,96645.6,3582.36,11.2271
77720.4,94190,87868.3,3175.95,11.2921
240422,183753,97451.4,4209.18,11.5493
184735,170403,107619,3943.2,11.7264
144722,162129,102177,3883.68,12.0636
152798,162048,99144.5,3829.74,12.2717
124691,156124,95265.9,3976.68,12.3988
167389,155762,93274.2,3925.53,13.0512
241116,212281,103186,3860.43,13.1453
103056,102977,81541.7,3985.05,13.3954
230117,236505,117993,4405.41,13.5115
191652,123655,86523.1,3809.28,13.7717
89313.8,122963,103176,3448.44,14.316
199715,212217,112772,3890.19,14.7113
164792,187397,106114,3705.12,15.5108
171388,144340,97592.5,3819.51,15.5128
113401,143946,105576,3970.17,15.5128
198348,216586,102442,4043.64,15.5798
160206,126629,92813.9,3365.67,15.7199
187781,227900,114762,3858.57,16.0111
170101,143359,92536.6,2406.84,16.1522
150608,168973,104111,3979.47,17.1948
149007,127331,87433.4,3423.33,17.498
169444,143607,96287.7,3880.89,18.0614
198279,162722,94454.2,3922.74,18.3856
216441,186418,97380.6,3794.4,18.6948
118976,148173,113097,3687.45,18.9539
107484,94371.5,87705.5,1810.71,19.128
71651.5,129916,106350,3929.25,19.4722
190886,186162,108524,4048.29,19.5213
175247,133908,88396.9,3832.53,19.7154
202839,206532,97676,4296.6,19.8175
107531,124167,91410.1,1771.65,20.0096
169533,149538,90493.3,2085.99,20.1217
113553,94264,85728.5,2218.05,20.1337
134860,138312,97443.7,3852.99,20.7951
150680,142137,94875,3496.8,21.1073
88653.6,143876,107964,4084.56,21.2033
222108,157572,92833.9,3773.01,21.7167
160779,136702,96986.5,3774.87,21.8007
219678,233060,108386,4194.3,21.8577
82672.6,107517,92039.9,1926.96,22.222
114903,143387,94204.8,1920.45,22.246
200732,162220,88984.5,2000.43,22.3691
212429,158595,96152.5,3852.99,22.3821
214786,212418,106617,3895.77,22.9825
164426,148645,94515.1,3567.48,22.9865
128639,119802,97829.1,3565.62,23.0285
180243,120375,90522.2,3775.8,23.0485
186750,163510,103021,3892.05,23.1756
139775,117222,95736.3,3499.59,23.2006
185193,223406,110860,3997.14,23.2316
160264,132629,100655,3658.62,23.3817
199932,177934,96477.7,3895.77,24.0922
221774,226292,109293,4162.68,24.2012
166111,162565,107718,3793.47,24.3303
150026,167246,102655,3870.66,25.0888
138097,105995,87745.5,3385.2,26.4426
231623,202540,103747,4031.55,26.5567
215474,154956,91891.2,4007.37,26.948
176288,156435,99102.1,3774.87,27.7995
188602,195983,100958,4215.69,27.8025
220628,175255,94140.5,4083.63,27.9786
138770,98422,89308,3558.18,28.682
102503,126946,85580.4,1884.18,28.9942
173706,143369,89408.1,3854.85,29.0823
199243,183426,109034,2465.43,29.5236
108398,133012,100266,3909.72,29.5376
156835,165440,97746.7,3917.16,29.6056
159278,222537,114234,3906.93,29.7757
141312,110223,86433.4,3567.48,29.9128
226216,188635,118757,3811.14,30.1279
130022,162523,110671,3103.41,30.4742
250419,173617,96315,3791.61,30.6953
150237,171987,112424,4092,30.8194
99989.3,146042,96434,4038.06,30.8324
244733,184165,95657.8,3983.19,30.9665
129648,101813,81704.8,2898.81,31.0846
107139,135308,107930,3970.17,31.1086
187914,206249,105936,3765.57,32.4174
191910,192259,101851,4155.24,32.5395
152695,167911,112341,3918.09,32.9357
140293,129235,89033,2378.94,33.1759
77118.5,92234.5,92071.5,3694.89,33.2099
200946,185826,109955,3837.18,33.2629
115399,118212,95536,3735.81,33.2869
160826,129870,88013.3,2680.26,33.312
171953,179623,111660,3584.22,33.464
151124,124414,86813.4,2391.03,33.5211
208663,201664,109401,4093.86,33.9854
183476,226678,116382,1913.01,33.9974
148782,151505,94816.8,2669.1,34.3076
224688,153678,96406,3702.33,34.3886
126497,146627,102050,3905.07,34.4957
199768,139156,89411.8,3882.75,35.013
198176,187303,100265,4039.92,35.2252
190171,184191,104525,3857.64,35.3983
203762,209083,112077,3909.72,35.4523
157294,144178,102235,3915.3,35.5544
184673,163068,98825.5,3774.87,35.7935
102358,96022.9,88066.3,4184.07,35.9366
203903,132182,91077.5,3934.83,35.9996
174408,176195,109497,3627,36.6631
134211,181508,98100.8,4041.78,37.1874
223587,212435,106695,4236.15,37.2965
180508,211743,108722,3997.14,37.3175
169566,132831,90892.2,3794.4,38.0569
171940,213684,117954,4238.94,38.0599
162922,157718,103806,3985.98,38.5092
157252,132556,91296.3,3510.75,38.5643
227300,226082,111072,4050.15,38.6553
210737,221802,112574,3880.89,38.7824
253770,226058,108954,4158.03,39.0275
136468,114261,86921.6,2152.95,39.1286
189222,184988,111620,3883.68,39.2907
192590,158627,89180.7,3874.38,39.3157
177965,167207,96491.7,3623.28,40.2603
142283,142166,100076,3915.3,40.4584
177715,139380,91056,3056.91,40.7146
198824,191206,101178,3924.6,40.9207
193163,168118,90117.9,2141.79,41.0638
125211,161610,85242.4,2541.69,41.1909
169549,153385,97184,3813.93,41.2009
195643,152954,92286.6,3835.32,42.0054
136454,110631,85507.7,2374.29,42.0625
214497,240781,113677,4240.8,42.0795
162148,179159,113911,3787.89,42.2336
237958,209458,99609.3,4017.6,42.7259
103027,160720,115396,3658.62,42.7599
147006,146751,94586.3,2054.37,42.876
