"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
151596,144711,98910.6,4464.46,0.208641
72070,82985.9,97692.9,2288.65,0.21466
157661,131907,91170,3451.63,0.218672
121775,118540,91452.6,2537.99,0.219675
107307,150007,107655,3832.01,0.229706
115061,108128,89343.7,4171.44,0.233718
139964,100964,83778.7,2740.01,0.234721
120469,113948,96690.7,3041.22,0.239737
63850.3,96952.3,90625.8,1858.22,0.239737
148061,139851,93532.7,4714.71,0.241743
150602,92089.3,80060,2503.41,0.252777
146474,150451,93755.1,2248.61,0.255786
116768,104164,90236.8,2916.55,0.257792
162661,133750,92887,4647.37,0.259798
114355,125306,90046.4,2258.62,0.262808
121774,92169.8,82820.7,2415.14,0.273842
114776,99649.8,84457.2,2503.41,0.281866
143572,112740,91871.8,4253.34,0.288888
116585,106819,91014.3,2364.18,0.295909
136216,93437.3,80601.1,2460.64,0.301928
80054.6,78131.2,93337.6,2302.3,0.301928
108347,108469,92792.5,2318.68,0.30895
92175.8,82624,84209.6,2331.42,0.310956
100704,94262.3,82443.5,2414.23,0.310956
167762,109980,86603.3,3772.86,0.322993
150888,140139,94601.9,3349.71,0.323996
171312,142479,96618.3,3709.16,0.328008
133496,95581.1,81683.8,2578.94,0.330014
118062,86710.1,78361.7,2395.12,0.338039
113684,90226.8,80438.4,2360.54,0.338039
102920,69828.7,75804.1,2464.28,0.342051
102038,127644,98374.6,3836.56,0.345061
125637,85622.8,81841.4,2390.57,0.347067
83694.8,82357.6,83022.7,2543.45,0.356094
167615,116801,85204.3,4761.12,0.360107
133168,109485,87140.4,3571.75,0.36111
69413.9,89321.3,90044,2514.33,0.362113
127019,90416,84787,2275,0.363116
129794,103284,81869,2355.08,0.364119
141652,121121,91274.6,4747.47,0.367128
76224.2,81850.4,79124.3,2360.54,0.370138
151005,109666,87614.3,4382.56,0.373147
206710,192253,94582.9,4372.55,0.376156
109713,86041.9,80895.8,2377.83,0.380168
110166,118524,94847,4456.27,0.381171
126045,100749,89576.3,3620.89,0.383178
161466,92799.8,82848.3,4369.82,0.410261
90855.1,103231,91751.2,2397.85,0.41327
187414,151067,93087.8,4453.54,0.429319
139892,137111,96192.3,3831.1,0.44236
90058.5,85702.5,85240.7,2494.31,0.446372
142366,110311,92228.8,2558.92,0.448378
171611,128827,90098.7,4452.63,0.453393
92314.2,90240.9,83063.4,2453.36,0.456403
116856,96345.6,92529.3,3140.41,0.459412
122672,108108,88734.3,3768.31,0.464427
127513,181802,103609,4309.76,0.467437
199746,141253,88692,4439.89,0.472452
118162,99414.9,84212.3,2482.48,0.480477
132938,116337,92313.4,4149.6,0.480477
162950,111363,88351.4,4833.01,0.483486
143312,133755,101847,3563.56,0.491511
165960,178822,94774.7,4676.49,0.502544
97119.5,116156,92281.6,2415.14,0.504551
126416,116676,86622.4,2438.8,0.50756
130854,105527,85335.2,2861.04,0.512575
130402,95098.1,85111.1,2861.95,0.513578
93174.7,78180.2,78387.1,2222.22,0.515585
51285.4,55591.7,79924.1,2308.67,0.516588
99867.9,115967,88066.9,2792.79,0.525615
228569,124616,86882.3,4712.89,0.527622
113201,76931,80134.7,2275.91,0.527622
124584,129138,89665.7,3396.12,0.531634
184292,121817,83930.1,4548.18,0.535646
122492,129947,101040,2314.13,0.536649
187523,157114,94237.9,4390.75,0.538656
118860,102827,86362.6,2453.36,0.541665
